association_id,offender_id_a,offender_id_b,relationship_type,strength,first_seen_crime_id,relationship_type_id
1,1,40,Family,0.39,755,2
2,1,27,Family,0.63,1028,2
3,1,293,Known associate,0.54,1028,4
4,27,293,Family,0.87,1028,2
5,2,29,Co-accused,0.71,492,1
6,2,166,Co-accused,0.48,692,1
7,2,281,Known associate,0.95,692,4
8,166,281,Co-accused,0.73,692,1
9,2,45,Family,0.44,864,2
10,2,382,Co-accused,0.45,864,1
11,45,382,Known associate,0.75,864,4
12,2,224,Gang member,0.65,1211,3
13,2,139,Gang member,0.43,1537,3
14,2,62,Gang member,0.4,1862,3
15,62,139,Family,0.64,1862,2
16,3,7,Gang member,0.93,130,3
17,3,168,Known associate,0.44,130,4
18,7,168,Known associate,0.68,130,4
19,3,123,Known associate,0.73,548,4
20,3,218,Co-accused,0.91,548,1
21,123,218,Family,0.92,548,2
22,3,114,Family,0.59,571,2
23,3,277,Known associate,0.66,571,4
24,114,277,Family,0.79,571,2
25,3,74,Gang member,0.4,663,3
26,3,104,Known associate,0.46,663,4
27,74,104,Family,0.44,663,2
28,4,192,Family,0.42,388,2
29,4,396,Family,0.37,388,2
30,192,396,Family,0.87,388,2
31,4,189,Family,0.56,828,2
32,4,279,Gang member,0.98,1097,3
33,4,168,Known associate,0.72,1933,4
34,5,364,Known associate,0.54,1392,4
35,5,221,Gang member,0.72,1568,3
36,5,375,Known associate,0.86,1956,4
37,6,351,Family,0.77,570,2
38,6,35,Known associate,0.65,1917,4
39,7,312,Gang member,0.72,13,3
40,7,155,Family,0.46,618,2
41,7,368,Co-accused,0.72,629,1
42,7,182,Family,0.79,1524,2
43,7,255,Known associate,0.53,1569,4
44,7,284,Known associate,0.38,1810,4
45,7,327,Gang member,0.79,1810,3
46,284,327,Known associate,0.94,1810,4
47,8,86,Co-accused,0.52,21,1
48,8,69,Co-accused,0.48,1785,1
49,8,154,Co-accused,0.55,1785,1
50,69,154,Known associate,0.81,1785,4
51,9,13,Co-accused,0.71,186,1
52,9,136,Family,0.89,447,2
53,9,155,Gang member,0.52,636,3
54,9,68,Gang member,0.69,642,3
55,9,208,Known associate,0.65,642,4
56,68,208,Co-accused,0.52,642,1
57,9,70,Known associate,0.41,716,4
58,9,331,Family,0.75,839,2
59,9,192,Family,0.99,852,2
60,9,168,Co-accused,0.44,1329,1
61,9,272,Known associate,0.94,1329,4
62,168,272,Family,0.57,1329,2
63,10,17,Gang member,0.33,342,3
64,10,329,Family,0.85,933,2
65,10,332,Family,0.7,933,2
66,329,332,Family,0.52,933,2
67,10,140,Co-accused,0.71,1530,1
68,10,281,Family,0.79,1530,2
69,140,281,Known associate,0.84,1530,4
70,10,297,Co-accused,0.74,1549,1
71,10,272,Known associate,0.32,1628,4
72,11,370,Gang member,0.88,33,3
73,11,363,Gang member,0.5,192,3
74,11,199,Family,0.37,904,2
75,11,304,Co-accused,0.49,1090,1
76,11,90,Co-accused,0.65,1426,1
77,11,108,Gang member,0.69,1426,3
78,90,108,Gang member,0.34,1426,3
79,11,23,Gang member,0.88,1488,3
80,12,190,Co-accused,0.83,75,1
81,12,87,Gang member,0.73,574,3
82,12,296,Co-accused,0.43,834,1
83,12,329,Known associate,0.33,866,4
84,12,362,Co-accused,0.51,866,1
85,329,362,Known associate,0.93,866,4
86,12,206,Family,0.42,1017,2
87,12,347,Co-accused,0.8,1017,1
88,206,347,Known associate,0.53,1017,4
89,12,307,Gang member,0.64,1108,3
90,12,39,Gang member,0.79,1673,3
91,13,164,Co-accused,0.48,153,1
92,13,251,Family,0.54,153,2
93,164,251,Known associate,0.52,153,4
94,13,62,Known associate,0.5,193,4
95,13,71,Family,0.46,193,2
96,62,71,Gang member,0.88,193,3
97,13,191,Gang member,0.84,218,3
98,13,345,Known associate,0.92,728,4
99,13,111,Family,0.54,1169,2
100,13,279,Co-accused,0.45,1802,1
101,14,228,Known associate,0.69,99,4
102,14,381,Co-accused,0.69,99,1
103,228,381,Known associate,0.36,99,4
104,14,178,Co-accused,0.38,577,1
105,14,42,Co-accused,0.58,837,1
106,14,389,Known associate,0.76,837,4
107,42,389,Known associate,0.86,837,4
108,14,53,Co-accused,0.44,1859,1
109,14,233,Gang member,0.91,1859,3
110,53,233,Known associate,0.95,1859,4
111,15,386,Co-accused,0.98,846,1
112,15,134,Family,0.82,849,2
113,15,239,Gang member,0.44,849,3
114,134,239,Gang member,0.95,849,3
115,15,80,Co-accused,0.97,982,1
116,17,152,Family,0.38,955,2
117,17,303,Gang member,0.88,955,3
118,152,303,Co-accused,0.74,955,1
119,17,42,Gang member,0.36,1029,3
120,17,185,Family,0.77,1079,2
121,17,279,Family,0.77,1079,2
122,185,279,Gang member,0.97,1079,3
123,17,284,Co-accused,0.67,1408,1
124,17,52,Family,0.62,1927,2
125,18,124,Co-accused,0.77,420,1
126,18,354,Co-accused,0.68,420,1
127,124,354,Co-accused,0.41,420,1
128,18,70,Gang member,0.94,452,3
129,18,350,Gang member,0.92,576,3
130,18,280,Family,0.94,622,2
131,18,398,Gang member,0.86,622,3
132,280,398,Known associate,0.61,622,4
133,18,247,Known associate,0.47,1138,4
134,18,388,Known associate,0.6,1155,4
135,18,225,Known associate,0.76,1458,4
136,18,57,Co-accused,0.72,1604,1
137,18,140,Gang member,0.54,1604,3
138,57,140,Family,0.79,1604,2
139,18,115,Family,0.47,1814,2
140,18,372,Family,0.41,1814,2
141,115,372,Co-accused,0.76,1814,1
142,19,302,Gang member,0.65,1410,3
143,19,238,Known associate,0.98,1445,4
144,19,180,Gang member,0.34,1737,3
145,19,315,Co-accused,0.63,1737,1
146,180,315,Known associate,0.74,1737,4
147,19,399,Known associate,0.52,1741,4
148,20,303,Co-accused,0.72,1470,1
149,21,385,Co-accused,0.76,327,1
150,21,394,Known associate,0.84,327,4
151,385,394,Gang member,0.66,327,3
152,21,123,Family,0.73,630,2
153,21,375,Known associate,0.46,630,4
154,123,375,Co-accused,0.32,630,1
155,21,93,Family,0.46,722,2
156,21,134,Gang member,0.94,722,3
157,93,134,Gang member,0.61,722,3
158,21,100,Known associate,0.87,1093,4
159,21,158,Known associate,0.68,1093,4
160,100,158,Co-accused,0.9,1093,1
161,21,260,Known associate,0.7,1528,4
162,21,97,Family,0.66,1895,2
163,21,143,Gang member,0.46,1895,3
164,97,143,Known associate,0.68,1895,4
165,21,306,Known associate,0.82,1932,4
166,22,165,Co-accused,0.35,196,1
167,22,28,Co-accused,0.99,203,1
168,22,241,Known associate,0.77,244,4
169,22,290,Known associate,0.84,522,4
170,22,250,Known associate,0.64,632,4
171,22,272,Gang member,0.3,1940,3
172,22,367,Known associate,0.34,1940,4
173,272,367,Co-accused,0.86,1940,1
174,23,292,Family,0.31,141,2
175,23,124,Gang member,0.77,256,3
176,23,244,Gang member,0.37,256,3
177,124,244,Family,0.62,256,2
178,23,160,Co-accused,0.39,1198,1
179,24,162,Known associate,0.82,1269,4
180,24,151,Gang member,0.7,1456,3
181,25,335,Co-accused,0.97,190,1
182,25,371,Gang member,0.42,190,3
183,335,371,Known associate,0.37,190,4
184,25,381,Co-accused,0.46,844,1
185,26,106,Family,0.39,877,2
186,26,290,Co-accused,0.34,877,1
187,106,290,Gang member,0.94,877,3
188,26,178,Family,0.42,1312,2
189,26,377,Known associate,0.87,1494,4
190,26,241,Family,0.53,1674,2
191,26,397,Known associate,0.92,1674,4
192,241,397,Co-accused,0.41,1674,1
193,27,341,Gang member,0.62,896,3
194,27,40,Co-accused,0.65,1228,1
195,27,387,Family,0.84,1830,2
196,28,105,Gang member,0.45,367,3
197,28,271,Co-accused,0.86,367,1
198,105,271,Gang member,0.54,367,3
199,28,164,Family,0.57,644,2
200,28,299,Family,0.88,644,2
201,164,299,Gang member,0.38,644,3
202,28,312,Gang member,0.64,1892,3
203,28,348,Family,0.41,1892,2
204,312,348,Gang member,0.45,1892,3
205,29,62,Known associate,0.7,50,4
206,29,193,Known associate,0.69,291,4
207,29,271,Known associate,0.97,291,4
208,193,271,Known associate,0.58,291,4
209,29,78,Co-accused,0.71,520,1
210,29,242,Gang member,0.72,1027,3
211,29,60,Known associate,0.89,1643,4
212,30,75,Co-accused,0.71,799,1
213,30,209,Known associate,0.91,1624,4
214,30,322,Co-accused,0.83,1624,1
215,209,322,Family,0.56,1624,2
216,30,196,Gang member,0.83,1773,3
217,30,329,Family,0.89,1773,2
218,196,329,Family,0.83,1773,2
219,30,180,Gang member,0.54,1817,3
220,30,274,Family,0.95,1817,2
221,180,274,Known associate,0.68,1817,4
222,30,153,Known associate,1,1969,4
223,30,265,Family,0.59,1972,2
224,31,361,Known associate,0.93,613,4
225,31,247,Known associate,0.77,1164,4
226,31,99,Family,0.81,1263,2
227,31,349,Known associate,0.38,1263,4
228,99,349,Family,0.9,1263,2
229,31,94,Co-accused,0.58,1430,1
230,31,189,Family,0.95,1613,2
231,31,96,Known associate,0.35,1670,4
232,31,134,Known associate,0.71,1670,4
233,96,134,Co-accused,0.52,1670,1
234,31,110,Gang member,0.91,1896,3
235,31,299,Known associate,0.59,1896,4
236,110,299,Family,0.3,1896,2
237,32,121,Gang member,0.6,4,3
238,32,253,Family,0.97,4,2
239,121,253,Family,0.73,4,2
240,32,366,Co-accused,0.89,15,1
241,32,306,Co-accused,0.85,102,1
242,32,157,Known associate,0.78,374,4
243,32,384,Family,0.89,939,2
244,32,117,Family,0.45,1952,2
245,33,76,Gang member,0.65,126,3
246,33,129,Co-accused,0.8,199,1
247,33,322,Co-accused,0.59,304,1
248,33,369,Family,0.53,304,2
249,322,369,Gang member,0.32,304,3
250,33,165,Gang member,0.43,860,3
251,33,53,Gang member,0.38,1394,3
252,33,364,Gang member,0.69,1394,3
253,53,364,Gang member,0.71,1394,3
254,34,224,Known associate,0.49,555,4
255,34,286,Family,0.99,1925,2
256,34,116,Gang member,0.93,1993,3
257,35,260,Family,0.47,219,2
258,35,90,Co-accused,0.92,497,1
259,35,181,Known associate,0.66,497,4
260,90,181,Known associate,0.71,497,4
261,35,65,Family,0.74,741,2
262,35,357,Known associate,0.77,1831,4
263,35,397,Gang member,0.77,1893,3
264,36,240,Known associate,0.49,392,4
265,36,243,Gang member,0.81,592,3
266,36,282,Known associate,0.46,684,4
267,36,195,Gang member,0.53,812,3
268,36,342,Known associate,0.7,812,4
269,195,342,Co-accused,0.6,812,1
270,36,228,Known associate,0.46,917,4
271,36,311,Known associate,0.95,981,4
272,36,121,Known associate,0.4,1039,4
273,36,185,Family,0.76,1051,2
274,36,276,Known associate,0.36,1051,4
275,185,276,Co-accused,0.7,1051,1
276,37,213,Co-accused,0.35,16,1
277,37,80,Co-accused,0.65,156,1
278,37,299,Known associate,0.83,156,4
279,80,299,Family,0.47,156,2
280,37,280,Co-accused,0.39,348,1
281,37,191,Known associate,0.93,697,4
282,37,370,Family,0.47,697,2
283,191,370,Family,0.9,697,2
284,37,104,Co-accused,0.95,1411,1
285,37,400,Co-accused,0.52,1411,1
286,104,400,Co-accused,0.5,1411,1
287,37,183,Known associate,0.72,1434,4
288,37,282,Family,0.74,1434,2
289,183,282,Co-accused,0.73,1434,1
290,37,203,Family,0.93,1801,2
291,37,377,Known associate,0.34,1801,4
292,203,377,Known associate,0.73,1801,4
293,38,94,Known associate,0.84,96,4
294,38,72,Gang member,0.48,301,3
295,38,293,Known associate,0.55,301,4
296,72,293,Known associate,0.42,301,4
297,38,190,Co-accused,0.8,1238,1
298,39,159,Gang member,0.31,985,3
299,39,271,Known associate,0.87,1358,4
300,39,334,Gang member,0.68,1358,3
301,271,334,Family,0.52,1358,2
302,39,63,Co-accused,0.88,1565,1
303,39,149,Family,0.42,1565,2
304,63,149,Known associate,0.32,1565,4
305,40,128,Known associate,0.52,177,4
306,40,222,Known associate,0.99,217,4
307,40,335,Co-accused,0.72,217,1
308,222,335,Gang member,0.62,217,3
309,40,281,Family,0.83,696,2
310,40,129,Co-accused,0.99,923,1
311,41,282,Family,0.88,243,2
312,41,365,Family,0.76,243,2
313,282,365,Co-accused,0.99,243,1
314,41,57,Family,0.36,397,2
315,41,164,Family,0.71,397,2
316,57,164,Co-accused,0.45,397,1
317,42,43,Known associate,0.87,264,4
318,42,46,Gang member,0.87,549,3
319,42,142,Known associate,0.85,549,4
320,46,142,Gang member,0.57,549,3
321,42,316,Known associate,0.98,603,4
322,42,212,Known associate,0.71,1393,4
323,43,263,Known associate,0.68,775,4
324,43,228,Gang member,0.64,930,3
325,43,154,Co-accused,0.79,1342,1
326,44,69,Gang member,0.92,240,3
327,44,313,Family,0.72,842,2
328,44,76,Co-accused,0.87,1355,1
329,45,290,Family,0.69,52,2
330,45,124,Known associate,0.72,968,4
331,45,204,Family,0.92,968,2
332,124,204,Gang member,0.65,968,3
333,45,59,Co-accused,0.31,1526,1
334,45,263,Gang member,0.8,1644,3
335,46,248,Known associate,0.87,627,4
336,46,356,Gang member,0.32,627,3
337,248,356,Known associate,0.56,627,4
338,46,207,Family,0.71,1563,2
339,46,237,Known associate,0.97,1563,4
340,207,237,Family,0.44,1563,2
341,46,317,Known associate,0.72,1791,4
342,47,233,Gang member,0.69,458,3
343,47,58,Family,0.44,473,2
344,47,267,Family,0.55,1146,2
345,58,267,Known associate,0.71,1146,4
346,48,215,Co-accused,0.47,104,1
