crime_offender_id,crime_id,offender_id,role
1,1,374,Accused
2,2,52,Accused
3,3,205,Accused
4,4,32,Accused
5,4,121,Accused
6,4,253,Accused
7,5,180,Accused
8,6,61,Accused
9,7,93,Accused
10,8,113,Accused
11,8,228,Accused
12,8,366,Accused
13,9,267,Accused
14,9,119,Accused
15,10,143,Accused
16,11,135,Accused
17,11,386,Accused
18,12,196,Accused
19,13,312,Accused
20,13,7,Accused
21,14,33,Accused
22,15,32,Accused
23,15,366,Accused
24,16,213,Accused
25,16,37,Accused
26,17,312,Accused
27,18,115,Accused
28,18,290,Accused
29,18,258,Accused
30,19,119,Accused
31,19,234,Accused
32,19,162,Accused
33,20,65,Accused
34,20,276,Accused
35,21,8,Accused
36,21,86,Accused
37,22,357,Accused
38,23,69,Accused
39,24,25,Accused
40,25,61,Accused
41,26,277,Accused
42,26,276,Accused
43,26,100,Accused
44,27,375,Accused
45,27,343,Accused
46,27,60,Accused
47,28,286,Accused
48,29,265,Accused
49,30,150,Accused
50,31,357,Accused
51,32,227,Accused
52,33,11,Accused
53,33,370,Accused
54,34,284,Accused
55,35,194,Accused
56,36,166,Accused
57,37,196,Accused
58,38,323,Accused
59,39,353,Accused
60,40,54,Accused
61,40,218,Accused
62,41,5,Accused
63,42,310,Accused
64,43,356,Accused
65,44,320,Accused
66,45,310,Accused
67,45,142,Accused
68,46,242,Accused
69,47,356,Accused
70,48,270,Accused
71,49,16,Accused
72,50,62,Accused
73,50,29,Accused
74,51,342,Accused
75,52,45,Accused
76,52,290,Accused
77,53,98,Accused
78,53,383,Accused
79,54,182,Accused
80,55,258,Accused
81,55,283,Accused
82,56,18,Accused
83,57,304,Accused
84,57,295,Accused
85,58,84,Accused
86,59,155,Accused
87,59,158,Accused
88,60,238,Accused
89,60,362,Accused
90,61,394,Accused
91,61,121,Accused
92,62,160,Accused
93,63,164,Accused
94,64,58,Accused
95,64,92,Accused
96,64,218,Accused
97,65,307,Accused
98,66,128,Accused
99,66,90,Accused
100,67,52,Accused
101,67,196,Accused
102,68,125,Accused
103,68,356,Accused
104,69,337,Accused
105,69,67,Accused
106,70,175,Accused
107,71,190,Accused
108,71,156,Accused
109,71,150,Accused
110,72,311,Accused
111,73,352,Accused
112,74,51,Accused
113,75,190,Accused
114,75,12,Accused
115,76,351,Accused
116,77,198,Accused
117,78,262,Accused
118,78,323,Accused
119,79,235,Accused
120,79,364,Accused
121,80,158,Accused
122,80,367,Accused
123,81,133,Accused
124,82,90,Accused
125,83,269,Accused
126,83,117,Accused
127,84,334,Accused
128,84,126,Accused
129,85,51,Accused
130,86,227,Accused
131,86,399,Accused
132,87,58,Accused
133,87,388,Accused
134,88,110,Accused
135,88,158,Accused
136,89,305,Accused
137,90,72,Accused
138,91,167,Accused
139,92,69,Accused
140,93,365,Accused
141,93,379,Accused
142,94,250,Accused
143,95,286,Accused
144,96,38,Accused
145,96,94,Accused
146,97,394,Accused
147,98,66,Accused
148,99,14,Accused
149,99,228,Accused
150,99,381,Accused
151,100,380,Accused
152,100,310,Accused
153,100,184,Accused
154,101,334,Accused
155,102,32,Accused
156,102,306,Accused
157,103,207,Accused
158,104,48,Accused
159,104,215,Accused
160,105,50,Accused
161,105,245,Accused
162,106,343,Accused
163,106,303,Accused
164,106,267,Accused
165,107,204,Accused
166,108,173,Accused
167,108,96,Accused
168,109,178,Accused
169,110,272,Accused
170,111,206,Accused
171,111,152,Accused
172,111,200,Accused
173,112,125,Accused
174,112,201,Accused
175,113,142,Accused
176,114,369,Accused
177,114,175,Accused
178,115,341,Accused
179,116,249,Accused
180,116,125,Accused
181,117,61,Accused
182,118,399,Accused
183,118,222,Accused
184,119,167,Accused
185,119,235,Accused
186,120,157,Accused
187,121,359,Accused
188,121,329,Accused
189,121,287,Accused
190,122,151,Accused
191,122,315,Accused
192,122,292,Accused
193,123,314,Accused
194,124,190,Accused
195,125,369,Accused
196,125,179,Accused
197,126,76,Accused
198,126,33,Accused
199,127,261,Accused
200,127,209,Accused
201,128,389,Accused
202,128,92,Accused
203,129,130,Accused
204,129,256,Accused
205,130,7,Accused
206,130,3,Accused
207,130,168,Accused
208,131,396,Accused
209,132,173,Accused
210,132,233,Accused
211,133,387,Accused
212,133,303,Accused
213,134,207,Accused
214,134,223,Accused
215,135,161,Accused
216,136,96,Accused
217,137,200,Accused
218,137,117,Accused
219,137,191,Accused
220,138,212,Accused
221,139,168,Accused
222,140,241,Accused
223,140,246,Accused
224,140,56,Accused
225,141,23,Accused
226,141,292,Accused
227,142,226,Accused
228,143,54,Accused
229,144,316,Accused
230,145,83,Accused
231,145,189,Accused
232,145,379,Accused
233,146,238,Accused
234,146,187,Accused
235,146,173,Accused
236,147,232,Accused
237,148,289,Accused
238,148,394,Accused
239,149,5,Accused
240,150,78,Accused
241,151,243,Accused
242,151,195,Accused
243,152,202,Accused
244,153,13,Accused
245,153,251,Accused
246,153,164,Accused
247,154,195,Accused
248,155,231,Accused
249,156,37,Accused
250,156,80,Accused
251,156,299,Accused
252,157,26,Accused
253,158,278,Accused
254,159,377,Accused
255,159,124,Accused
256,160,349,Accused
257,161,239,Accused
258,162,304,Accused
259,163,341,Accused
260,164,307,Accused
261,164,67,Accused
262,165,244,Accused
263,165,144,Accused
264,166,197,Accused
265,166,385,Accused
266,167,288,Accused
267,167,75,Accused
268,168,217,Accused
269,168,359,Accused
270,169,141,Accused
271,170,203,Accused
272,170,92,Accused
273,171,183,Accused
274,171,174,Accused
275,172,331,Accused
276,173,149,Accused
277,174,322,Accused
278,175,395,Accused
279,175,208,Accused
280,176,130,Accused
281,176,112,Accused
282,177,128,Accused
283,177,40,Accused
284,178,144,Accused
285,179,297,Accused
286,179,356,Accused
287,180,395,Accused
288,181,187,Accused
289,182,345,Accused
290,183,321,Accused
291,184,3,Accused
292,185,328,Accused
293,186,13,Accused
294,186,9,Accused
