crime_officer_id,crime_id,officer_id,role,assigned_date,assignment_status
1,1,19,Investigating Officer,2020-01-22,Active
2,2,26,Investigating Officer,2024-10-17,Active
3,3,67,Investigating Officer,2023-03-25,Active
4,4,50,Investigating Officer,2021-07-24,Closed
5,5,115,Investigating Officer,2025-05-15,Active
6,6,5,Investigating Officer,2024-05-04,Active
7,7,43,Investigating Officer,2020-07-06,Active
8,8,24,Investigating Officer,2022-10-21,Closed
9,9,97,Investigating Officer,2024-08-09,Active
10,10,88,Investigating Officer,2025-08-05,Active
11,11,103,Investigating Officer,2020-05-08,Closed
12,12,10,Investigating Officer,2023-03-23,Closed
13,13,55,Investigating Officer,2020-06-07,Active
14,14,7,Investigating Officer,2022-06-11,Active
15,15,12,Investigating Officer,2022-01-24,Closed
16,16,67,Investigating Officer,2021-04-08,Active
17,17,71,Investigating Officer,2020-05-07,Closed
18,18,73,Investigating Officer,2021-09-06,Closed
19,19,101,Investigating Officer,2022-03-09,Active
20,20,13,Investigating Officer,2025-06-06,Closed
21,21,17,Investigating Officer,2021-08-30,Active
22,22,4,Investigating Officer,2021-06-26,Active
23,23,8,Investigating Officer,2025-01-12,Active
24,24,74,Investigating Officer,2025-09-14,Active
25,25,28,Investigating Officer,2024-10-29,Active
26,26,45,Investigating Officer,2021-01-28,Active
27,27,88,Investigating Officer,2021-05-06,Active
28,28,98,Investigating Officer,2023-07-13,Active
29,29,37,Investigating Officer,2025-06-07,Active
30,30,51,Investigating Officer,2023-11-29,Closed
31,31,80,Investigating Officer,2022-10-10,Closed
32,32,4,Investigating Officer,2024-08-02,Active
33,33,79,Investigating Officer,2022-04-24,Closed
34,34,71,Investigating Officer,2024-06-08,Closed
35,35,8,Investigating Officer,2020-04-09,Active
36,36,79,Investigating Officer,2021-01-26,Active
37,37,73,Investigating Officer,2022-06-29,Active
38,38,109,Investigating Officer,2022-08-08,Active
39,39,92,Investigating Officer,2020-08-29,Closed
40,40,61,Investigating Officer,2023-08-11,Active
41,41,9,Investigating Officer,2021-11-30,Active
42,42,71,Investigating Officer,2021-08-02,Active
43,43,91,Investigating Officer,2022-01-04,Active
44,44,44,Investigating Officer,2022-02-28,Closed
45,45,52,Investigating Officer,2021-06-02,Closed
46,46,28,Investigating Officer,2023-08-17,Closed
47,47,62,Investigating Officer,2021-11-11,Closed
48,48,68,Investigating Officer,2022-02-21,Active
49,49,9,Investigating Officer,2024-06-19,Active
50,50,7,Investigating Officer,2021-09-19,Active
51,51,66,Investigating Officer,2021-11-24,Closed
52,52,98,Investigating Officer,2020-01-14,Active
53,53,2,Investigating Officer,2025-02-28,Active
54,54,79,Investigating Officer,2023-01-22,Active
55,55,73,Investigating Officer,2024-11-12,Active
56,56,100,Investigating Officer,2025-04-30,Closed
57,57,19,Investigating Officer,2023-06-08,Active
58,58,76,Investigating Officer,2025-09-07,Active
59,59,17,Investigating Officer,2023-11-18,Closed
60,60,1,Investigating Officer,2021-02-13,Active
61,61,83,Investigating Officer,2023-11-21,Closed
62,62,25,Investigating Officer,2022-05-15,Active
63,63,20,Investigating Officer,2023-11-19,Active
64,64,59,Investigating Officer,2025-01-18,Active
65,65,118,Investigating Officer,2024-11-16,Closed
66,66,79,Investigating Officer,2023-05-04,Active
67,67,119,Investigating Officer,2020-06-15,Closed
68,68,16,Investigating Officer,2021-04-21,Closed
69,69,53,Investigating Officer,2024-06-20,Active
70,70,119,Investigating Officer,2024-09-19,Closed
71,71,49,Investigating Officer,2020-11-17,Active
72,72,80,Investigating Officer,2023-03-08,Active
73,73,76,Investigating Officer,2022-06-10,Active
74,74,85,Investigating Officer,2024-06-26,Active
75,75,99,Investigating Officer,2024-08-01,Active
76,76,46,Investigating Officer,2023-08-14,Active
77,77,31,Investigating Officer,2020-01-29,Closed
78,78,5,Investigating Officer,2023-04-14,Active
79,79,72,Investigating Officer,2021-08-04,Closed
80,80,115,Investigating Officer,2021-08-29,Active
81,81,30,Investigating Officer,2022-11-19,Active
82,82,112,Investigating Officer,2025-11-13,Active
83,83,24,Investigating Officer,2025-08-05,Active
84,84,104,Investigating Officer,2025-01-03,Active
85,85,14,Investigating Officer,2025-11-10,Active
86,86,20,Investigating Officer,2025-06-18,Closed
87,87,92,Investigating Officer,2022-12-18,Active
88,88,21,Investigating Officer,2023-11-03,Active
89,89,61,Investigating Officer,2021-12-04,Active
90,90,62,Investigating Officer,2024-05-30,Active
91,91,82,Investigating Officer,2022-03-27,Closed
92,92,114,Investigating Officer,2020-08-17,Active
93,93,85,Investigating Officer,2025-12-15,Active
94,94,64,Investigating Officer,2022-11-11,Active
95,95,97,Investigating Officer,2025-07-08,Closed
96,96,39,Investigating Officer,2024-10-31,Closed
97,97,3,Investigating Officer,2020-03-18,Active
98,98,110,Investigating Officer,2022-04-24,Active
99,99,52,Investigating Officer,2023-12-26,Active
100,100,22,Investigating Officer,2025-09-06,Active
101,101,88,Investigating Officer,2024-09-16,Closed
102,102,61,Investigating Officer,2021-12-27,Closed
103,103,29,Investigating Officer,2022-01-13,Active
