crime_victim_id,crime_id,victim_id,role
1,1,541,Victim
2,1,509,Victim
3,2,237,Victim
4,3,560,Victim
5,4,578,Victim
6,5,311,Victim
7,6,377,Victim
8,6,361,Victim
9,7,322,Victim
10,8,376,Victim
11,9,567,Victim
12,10,394,Victim
13,10,508,Victim
14,11,29,Victim
15,12,244,Victim
16,13,583,Victim
17,14,265,Victim
18,15,264,Victim
19,15,17,Victim
20,16,290,Victim
21,17,321,Victim
22,18,562,Victim
23,18,429,Victim
24,19,119,Victim
25,20,418,Victim
26,21,270,Victim
27,22,301,Victim
28,23,522,Victim
29,24,538,Victim
30,25,499,Victim
31,26,27,Victim
32,27,81,Victim
33,27,228,Victim
34,28,37,Victim
35,29,220,Victim
36,29,4,Victim
37,30,502,Victim
38,31,132,Victim
39,32,267,Victim
40,33,389,Victim
41,34,14,Victim
42,35,135,Victim
43,36,24,Victim
44,37,509,Victim
45,38,98,Victim
46,38,575,Victim
47,39,417,Victim
48,40,385,Victim
49,41,446,Victim
50,42,474,Victim
51,43,470,Victim
52,44,261,Victim
53,45,485,Victim
54,45,215,Victim
55,46,513,Victim
56,47,124,Victim
57,48,318,Victim
58,49,483,Victim
59,49,466,Victim
60,50,64,Victim
61,51,67,Victim
62,52,91,Victim
63,52,120,Victim
64,53,136,Victim
65,54,358,Victim
66,55,276,Victim
67,55,93,Victim
68,56,108,Victim
69,57,409,Victim
70,58,308,Victim
71,59,242,Victim
72,60,99,Victim
73,61,349,Victim
74,62,493,Victim
75,63,520,Victim
76,64,393,Victim
77,65,259,Victim
78,66,97,Victim
79,67,81,Victim
80,68,384,Victim
81,69,474,Victim
82,70,456,Victim
83,71,463,Victim
84,72,127,Victim
85,72,100,Victim
86,73,326,Victim
87,73,515,Victim
88,74,429,Victim
89,75,399,Victim
90,76,248,Victim
91,77,428,Victim
92,78,439,Victim
93,79,251,Victim
94,80,313,Victim
95,81,521,Victim
96,82,389,Victim
97,83,373,Victim
98,84,468,Victim
99,85,53,Victim
100,86,468,Victim
101,87,500,Victim
102,87,7,Victim
103,88,328,Victim
104,89,276,Victim
105,90,281,Victim
106,90,20,Victim
107,91,482,Victim
108,92,76,Victim
109,92,333,Victim
110,93,370,Victim
111,94,542,Victim
112,95,545,Victim
113,96,348,Victim
114,97,469,Victim
115,98,71,Victim
116,99,214,Victim
