crime_id,station_id,district,crime_type,modus_operandi,incident_date,incident_time,incident_year,incident_month,incident_day_of_week,incident_hour,latitude,longitude,location_type,severity,weapons_used,property_loss_inr,status,fir_number,io_officer,offender_ids,victim_ids,solved,days_to_solve,district_id,crime_type_id,modus_operandi_id,location_type_id,weapon_id,case_status_id,io_officer_id
1,7,Bengaluru Rural,Theft,Vehicle theft,2020-01-22,14:49:00,2020,1,Wednesday,14,13.209779,77.464972,Residence,3,None,436418,Under Investigation,FIR/2020/007/0001,S,[374],"[541, 509]",0,287,2,9,32,5,4,6,19
2,9,Bengaluru Rural,Fraud,Impersonation,2024-10-17,21:24:00,2024,10,Thursday,21,13.215197,77.478226,Road,4,Blunt Object,283397,Under Investigation,FIR/2024/009/0002,Z,[52],[237],0,361,2,4,13,6,1,6,26
3,23,Belagavi,Theft,Vehicle theft,2023-03-25,17:34:00,2023,3,Saturday,17,15.934467,74.601334,Market,3,None,467564,Open,FIR/2023/023/0003,BO,[205],[560],0,216,6,9,32,2,4,4,67
4,17,Dakshina Kannada,Theft,Pickpocket,2021-07-24,20:35:00,2021,7,Saturday,20,12.802906,75.051763,Park,2,None,368622,Closed - Acquitted,FIR/2021/017/0004,AX,"[32, 121, 253]",[578],1,214,5,9,31,3,4,1,50
5,39,Udupi,Drug Offence,Possession,2025-05-15,19:17:00,2025,5,Thursday,19,13.245875,74.741283,Residence,4,None,0,Pending Trial,FIR/2025/039/0005,DK,[180],[311],0,,12,3,10,5,4,5,115
6,2,Bengaluru Urban,Assault,Brawl,2024-05-04,08:44:00,2024,5,Saturday,8,13.019921,77.606491,Residence,3,Knife,0,Under Investigation,FIR/2024/002/0006,E,[61],"[377, 361]",1,,1,1,1,5,3,6,5
7,15,Tumakuru,Robbery,Dacoity,2020-07-06,19:55:00,2020,7,Monday,19,13.412929,77.015687,Commercial,5,Blunt Object,343518,Pending Trial,FIR/2020/015/0007,AQ,[93],[322],0,,4,7,24,1,1,5,43
8,8,Bengaluru Rural,Cybercrime,Online fraud,2022-10-21,15:13:00,2022,10,Friday,15,13.255052,77.53337,Park,4,Knife,0,Closed - Acquitted,FIR/2022/008/0008,X,"[113, 228, 366]",[376],0,278,2,2,7,3,3,1,24
9,33,Hassan,Theft,House break-in,2024-08-09,15:39:00,2024,8,Friday,15,12.905627,76.199192,Residence,3,None,64355,Under Investigation,FIR/2024/033/0009,CS,"[267, 119]",[567],1,226,10,9,30,5,4,6,97
10,30,Ballari,Kidnapping,Ransom,2025-08-05,11:17:00,2025,8,Tuesday,11,15.111602,76.999923,Road,5,Firearm,0,Under Investigation,FIR/2025/030/0010,CJ,[143],"[394, 508]",1,221,9,5,18,6,2,6,88
11,35,Hassan,Theft,House break-in,2020-05-08,13:48:00,2020,5,Friday,13,12.893038,76.126397,Commercial,3,None,380521,Closed - Acquitted,FIR/2020/035/0011,CY,"[135, 386]",[29],0,,10,9,30,1,4,1,103
12,4,Bengaluru Urban,Fraud,Impersonation,2023-03-23,14:29:00,2023,3,Thursday,14,13.024213,77.659163,Residence,3,None,147167,Closed - Convicted,FIR/2023/004/0012,J,[196],[244],0,,1,4,13,5,4,2,10
13,19,Dakshina Kannada,Robbery,Mugging,2020-06-07,13:17:00,2020,6,Sunday,13,12.882015,75.057782,Market,4,Knife,438304,Under Investigation,FIR/2020/019/0013,BC,"[312, 7]",[583],0,239,5,7,25,2,3,6,55
14,3,Bengaluru Urban,Vandalism,Graffiti,2022-06-11,17:03:00,2022,6,Saturday,17,12.870691,77.689891,Commercial,2,None,0,Under Investigation,FIR/2022/003/0014,G,[33],[265],1,317,1,10,34,1,4,6,7
15,4,Bengaluru Urban,Theft,Pickpocket,2022-01-24,21:32:00,2022,1,Monday,21,12.990774,77.484669,Market,2,None,442987,Closed - Acquitted,FIR/2022/004/0015,L,"[32, 366]","[264, 17]",0,,1,9,31,2,4,1,12
16,23,Belagavi,Theft,Chain snatching,2021-04-08,10:04:00,2021,4,Thursday,10,15.807889,74.466826,Residence,3,None,12947,Under Investigation,FIR/2021/023/0016,BO,"[213, 37]",[290],1,334,6,9,29,5,4,6,67
17,24,Kalaburagi,Assault,Road rage,2020-05-07,04:23:00,2020,5,Thursday,4,17.432974,76.933149,Park,4,None,0,Closed - Convicted,FIR/2020/024/0017,BS,[312],[321],0,,7,1,4,3,4,2,71
18,25,Kalaburagi,Fraud,Cheque fraud,2021-09-06,23:48:00,2021,9,Monday,23,17.228527,76.732855,Park,4,None,63565,Closed - Acquitted,FIR/2021/025/0018,BU,"[115, 290, 258]","[562, 429]",0,,7,4,12,3,4,1,73
19,34,Hassan,Assault,Road rage,2022-03-09,21:18:00,2022,3,Wednesday,21,12.965684,76.172061,Market,4,None,0,Under Investigation,FIR/2022/034/0019,CW,"[119, 234, 162]",[119],1,259,10,1,4,2,4,6,101
20,5,Bengaluru Urban,Sexual Assault,Eve-teasing,2025-06-06,15:14:00,2025,6,Friday,15,12.952124,77.611242,Market,5,Blunt Object,0,Closed - Convicted,FIR/2025/005/0020,M,"[65, 276]",[418],0,61,1,8,26,2,1,2,13
21,6,Bengaluru Urban,Robbery,Dacoity,2021-08-30,17:31:00,2021,8,Monday,17,13.037035,77.690569,Park,4,None,487653,Under Investigation,FIR/2021/006/0021,Q,"[8, 86]",[270],0,,1,7,24,3,4,6,17
22,2,Bengaluru Urban,Cybercrime,Online fraud,2021-06-26,16:55:00,2021,6,Saturday,16,12.944747,77.575966,Road,3,Knife,0,Pending Trial,FIR/2021/002/0022,D,[357],[301],0,,1,2,7,6,3,5,4
23,3,Bengaluru Urban,Theft,House break-in,2025-01-12,15:40:00,2025,1,Sunday,15,13.051953,77.54403,Road,2,None,79826,Pending Trial,FIR/2025/003/0023,H,[69],[522],1,,1,9,30,6,4,5,8
24,25,Kalaburagi,Robbery,Armed robbery,2025-09-14,11:37:00,2025,9,Sunday,11,17.395222,76.770043,Park,5,Blunt Object,442533,Pending Trial,FIR/2025/025/0024,BV,[25],[538],1,,7,7,23,3,1,5,74
25,10,Mysuru,Theft,Vehicle theft,2024-10-29,17:17:00,2024,10,Tuesday,17,12.323515,76.543272,Public Transport,2,None,117248,Pending Trial,FIR/2024/010/0025,AB,[61],[499],0,,3,9,32,4,4,5,28
26,15,Tumakuru,Cybercrime,Identity theft,2021-01-28,20:35:00,2021,1,Thursday,20,13.399068,77.003864,Commercial,4,None,0,Under Investigation,FIR/2021/015/0026,AS,"[277, 276, 100]",[27],0,,4,2,5,1,4,6,45
27,30,Ballari,Theft,Pickpocket,2021-05-06,14:56:00,2021,5,Thursday,14,15.082534,77.008881,Market,3,None,38980,Under Investigation,FIR/2021/030/0027,CJ,"[375, 343, 60]","[81, 228]",1,,9,9,31,2,4,6,88
28,33,Hassan,Cybercrime,Online fraud,2023-07-13,07:27:00,2023,7,Thursday,7,13.056025,76.105411,Market,4,None,0,Open,FIR/2023/033/0028,CT,[286],[37],1,,10,2,7,2,4,4,98
29,13,Mysuru,Theft,Vehicle theft,2025-06-07,15:46:00,2025,6,Saturday,15,12.20743,76.671745,Public Transport,2,None,35264,Under Investigation,FIR/2025/013/0029,AK,[265],"[220, 4]",0,353,3,9,32,4,4,6,37
30,17,Dakshina Kannada,Cybercrime,Identity theft,2023-11-29,18:33:00,2023,11,Wednesday,18,12.767015,74.942024,Market,3,Firearm,0,Closed - Convicted,FIR/2023/017/0030,AY,[150],[502],1,148,5,2,5,2,2,2,51
31,27,Dharwad,Vandalism,Graffiti,2022-10-10,08:27:00,2022,10,Monday,8,15.450437,74.964337,Public Transport,3,None,0,Closed - Acquitted,FIR/2022/027/0031,CB,[357],[132],0,,8,10,34,4,4,1,80
32,2,Bengaluru Urban,Theft,Vehicle theft,2024-08-02,19:35:00,2024,8,Friday,19,12.914385,77.550828,Road,2,None,140675,Under Investigation,FIR/2024/002/0032,D,[227],[267],0,230,1,9,32,6,4,6,4
33,27,Dharwad,Theft,Vehicle theft,2022-04-24,22:07:00,2022,4,Sunday,22,15.486093,74.966924,Road,3,None,409171,Closed - Convicted,FIR/2022/027/0033,CA,"[11, 370]",[389],1,108,8,9,32,6,4,2,79
34,24,Kalaburagi,Assault,Domestic violence,2024-06-08,12:14:00,2024,6,Saturday,12,17.248437,76.804031,Road,4,None,0,Closed - Convicted,FIR/2024/024/0034,BS,[284],[14],0,,7,1,2,6,4,2,71
35,3,Bengaluru Urban,Theft,House break-in,2020-04-09,19:40:00,2020,4,Thursday,19,12.910954,77.53999,Market,2,None,459602,Under Investigation,FIR/2020/003/0035,H,[194],[135],1,,1,9,30,2,4,6,8
36,27,Dharwad,Theft,Vehicle theft,2021-01-26,20:37:00,2021,1,Tuesday,20,15.385528,75.033166,Commercial,3,None,143680,Under Investigation,FIR/2021/027/0036,CA,[166],[24],0,,8,9,32,1,4,6,79
37,25,Kalaburagi,Theft,Pickpocket,2022-06-29,11:35:00,2022,6,Wednesday,11,17.277962,76.882991,Market,3,None,206383,Pending Trial,FIR/2022/025/0037,BU,[196],[509],0,,7,9,31,2,4,5,73
38,37,Shivamogga,Vandalism,Graffiti,2022-08-08,15:23:00,2022,8,Monday,15,13.836048,75.522646,Residence,3,None,0,Under Investigation,FIR/2022/037/0038,DE,[323],"[98, 575]",1,316,11,10,34,5,4,6,109
39,31,Ballari,Assault,Domestic violence,2020-08-29,14:16:00,2020,8,Saturday,14,15.197123,77.001638,Road,4,Knife,0,Closed - Convicted,FIR/2020/031/0039,CN,[353],[417],0,,9,1,2,6,3,2,92
40,21,Belagavi,Kidnapping,Ransom,2023-08-11,15:45:00,2023,8,Friday,15,15.862854,74.555224,Residence,5,None,0,Open,FIR/2023/021/0040,BI,"[54, 218]",[385],1,59,6,5,18,5,4,4,61
41,3,Bengaluru Urban,Murder,Hired killing,2021-11-30,16:51:00,2021,11,Tuesday,16,12.885168,77.684412,Commercial,5,None,0,Pending Trial,FIR/2021/003/0041,I,[5],[446],0,,1,6,21,1,4,5,9
42,24,Kalaburagi,Assault,Domestic violence,2021-08-02,18:33:00,2021,8,Monday,18,17.402375,76.942779,Residence,4,Knife,0,Pending Trial,FIR/2021/024/0042,BS,[310],[474],1,,7,1,2,5,3,5,71
43,31,Ballari,Theft,Chain snatching,2022-01-04,06:30:00,2022,1,Tuesday,6,15.253874,76.876242,Commercial,3,None,49657,Open,FIR/2022/031/0043,CM,[356],[470],1,287,9,9,29,1,4,4,91
44,15,Tumakuru,Robbery,Armed robbery,2022-02-28,20:18:00,2022,2,Monday,20,13.426242,77.137572,Park,5,Blunt Object,336382,Closed - Convicted,FIR/2022/015/0044,AR,[320],[261],1,,4,7,23,3,1,2,44
