district_id,name,latitude,longitude,population,urbanization_index,socio_economic_index,area_sqkm,literacy_rate,unemployment_rate
1,Bengaluru Urban,12.9716,77.5946,12700000,0.98,0.72,5738,0.68,0.14
2,Bengaluru Rural,13.1986,77.5677,990000,0.42,0.48,2506,0.71,0.14
3,Mysuru,12.2958,76.6394,3000000,0.65,0.55,6043,0.85,0.11
4,Tumakuru,13.3379,77.1173,2700000,0.38,0.4,5337,0.76,0.03
5,Dakshina Kannada,12.8438,74.99,2100000,0.6,0.62,2291,0.71,0.12
6,Belagavi,15.8497,74.4977,4900000,0.45,0.38,5097,0.7,0.13
7,Kalaburagi,17.3297,76.8343,2600000,0.36,0.3,4964,0.76,0.1
8,Dharwad,15.4589,75.0078,1800000,0.72,0.52,2778,0.87,0.03
9,Ballari,15.1394,76.9214,2500000,0.4,0.35,7101,0.69,0.09
10,Hassan,13.0068,76.1003,1700000,0.3,0.42,2776,0.69,0.17
11,Shivamogga,13.9299,75.5681,1750000,0.48,0.46,3257,0.68,0.09
12,Udupi,13.3409,74.7421,1175000,0.55,0.6,3440,0.88,0.12
