stat_id,district,incident_year,incident_month,crime_type,incident_count,solved_count,total_property_loss_inr,solve_rate,district_id,crime_type_id
1,Bengaluru Rural,2020,1,Theft,1,0,436418,0,2,9
2,Bengaluru Rural,2024,10,Fraud,1,0,283397,0,2,4
3,Belagavi,2023,3,Theft,3,1,993942,0.333,6,9
4,Dakshina Kannada,2021,7,Theft,1,1,368622,1,5,9
5,Udupi,2025,5,Drug Offence,1,0,0,0,12,3
6,Bengaluru Urban,2024,5,Assault,4,2,0,0.5,1,1
7,Tumakuru,2020,7,Robbery,1,0,343518,0,4,7
8,Bengaluru Rural,2022,10,Cybercrime,1,0,0,0,2,2
9,Hassan,2024,8,Theft,1,1,64355,1,10,9
10,Ballari,2025,8,Kidnapping,1,1,0,1,9,5
11,Hassan,2020,5,Theft,1,0,380521,0,10,9
12,Bengaluru Urban,2023,3,Fraud,2,1,598642,0.5,1,4
13,Dakshina Kannada,2020,6,Robbery,1,0,438304,0,5,7
14,Bengaluru Urban,2022,6,Vandalism,2,2,0,1,1,10
15,Bengaluru Urban,2022,1,Theft,1,0,442987,0,1,9
16,Belagavi,2021,4,Theft,1,1,12947,1,6,9
17,Kalaburagi,2020,5,Assault,1,0,0,0,7,1
18,Kalaburagi,2021,9,Fraud,1,0,63565,0,7,4
19,Hassan,2022,3,Assault,1,1,0,1,10,1
20,Bengaluru Urban,2025,6,Sexual Assault,1,0,0,0,1,8
21,Bengaluru Urban,2021,8,Robbery,1,0,487653,0,1,7
22,Bengaluru Urban,2021,6,Cybercrime,2,0,0,0,1,2
23,Bengaluru Urban,2025,1,Theft,1,1,79826,1,1,9
24,Kalaburagi,2025,9,Robbery,3,2,1087749,0.667,7,7
25,Mysuru,2024,10,Theft,2,0,591681,0,3,9
26,Tumakuru,2021,1,Cybercrime,1,0,0,0,4,2
27,Ballari,2021,5,Theft,4,4,684577,1,9,9
28,Hassan,2023,7,Cybercrime,1,1,0,1,10,2
29,Mysuru,2025,6,Theft,1,0,35264,0,3,9
30,Dakshina Kannada,2023,11,Cybercrime,1,1,0,1,5,2
31,Dharwad,2022,10,Vandalism,1,0,0,0,8,10
32,Bengaluru Urban,2024,8,Theft,1,0,140675,0,1,9
33,Dharwad,2022,4,Theft,1,1,409171,1,8,9
34,Kalaburagi,2024,6,Assault,2,1,0,0.5,7,1
35,Bengaluru Urban,2020,4,Theft,2,2,554462,1,1,9
36,Dharwad,2021,1,Theft,3,1,915405,0.333,8,9
37,Kalaburagi,2022,6,Theft,2,0,346722,0,7,9
38,Shivamogga,2022,8,Vandalism,1,1,0,1,11,10
39,Ballari,2020,8,Assault,2,1,0,0.5,9,1
40,Belagavi,2023,8,Kidnapping,1,1,0,1,6,5
41,Bengaluru Urban,2021,11,Murder,1,0,0,0,1,6
42,Kalaburagi,2021,8,Assault,2,2,0,1,7,1
43,Ballari,2022,1,Theft,1,1,49657,1,9,9
44,Tumakuru,2022,2,Robbery,1,1,336382,1,4,7
45,Dakshina Kannada,2021,6,Theft,1,0,1400,0,5,9
46,Mysuru,2023,8,Theft,3,0,798907,0,3,9
47,Belagavi,2021,11,Assault,3,1,0,0.333,6,1
48,Belagavi,2022,2,Drug Offence,1,0,0,0,6,3
49,Bengaluru Urban,2024,6,Cybercrime,3,0,0,0,1,2
50,Bengaluru Urban,2021,9,Robbery,1,0,449781,0,1,7
51,Belagavi,2021,11,Fraud,1,1,77339,1,6,4
52,Hassan,2020,1,Robbery,1,0,382494,0,10,7
53,Bengaluru Urban,2025,2,Theft,3,2,395950,0.667,1,9
54,Dharwad,2023,1,Theft,2,0,520861,0,8,9
55,Kalaburagi,2024,11,Theft,2,2,616383,1,7,9
56,Hassan,2025,4,Cybercrime,1,1,0,1,10,2
57,Bengaluru Rural,2023,6,Theft,4,1,1528945,0.25,2,9
58,Bengaluru Urban,2023,11,Robbery,2,0,163212,0,1,7
59,Bengaluru Urban,2021,2,Assault,2,1,0,0.5,1,1
60,Dharwad,2023,11,Assault,2,1,0,0.5,8,1
61,Bengaluru Rural,2022,5,Assault,1,1,0,1,2,1
62,Bengaluru Rural,2023,11,Assault,1,0,0,0,2,1
63,Belagavi,2025,1,Assault,3,1,0,0.333,6,1
64,Udupi,2024,11,Drug Offence,1,0,0,0,12,3
65,Dharwad,2023,5,Theft,1,0,381045,0,8,9
66,Udupi,2020,6,Theft,1,1,486245,1,12,9
67,Bengaluru Urban,2021,4,Fraud,1,0,112831,0,1,4
68,Dakshina Kannada,2024,6,Assault,1,1,0,1,5,1
69,Udupi,2024,9,Theft,2,0,431621,0,12,9
70,Dakshina Kannada,2020,11,Robbery,2,0,285153,0,5,7
71,Dharwad,2023,3,Vandalism,1,1,0,1,8,10
72,Kalaburagi,2022,6,Assault,2,1,0,0.5,7,1
73,Dharwad,2024,6,Theft,2,1,650342,0.5,8,9
74,Hassan,2024,8,Vandalism,1,0,0,0,10,10
75,Tumakuru,2023,8,Theft,1,0,241909,0,4,9
76,Mysuru,2020,1,Theft,2,0,938775,0,3,9
77,Bengaluru Urban,2023,4,Assault,1,0,0,0,1,1
78,Kalaburagi,2021,8,Robbery,1,0,154818,0,7,7
79,Udupi,2021,8,Theft,2,1,414967,0.5,12,9
80,Mysuru,2022,11,Cybercrime,1,0,0,0,3,2
81,Shivamogga,2025,11,Fraud,1,1,496473,1,11,4
82,Bengaluru Rural,2025,8,Cybercrime,1,0,0,0,2,2
83,Hassan,2025,1,Murder,1,1,0,1,10,6
84,Bengaluru Urban,2025,11,Sexual Assault,1,1,0,1,1,8
85,Bengaluru Rural,2025,6,Assault,1,0,0,0,2,1
86,Ballari,2022,12,Assault,1,1,0,1,9,1
87,Bengaluru Rural,2023,11,Sexual Assault,1,1,0,1,2,8
88,Belagavi,2021,12,Theft,3,3,781057,1,6,9
89,Belagavi,2024,5,Assault,1,1,0,1,6,1
90,Dharwad,2022,3,Fraud,1,1,204505,1,8,4
91,Shivamogga,2020,8,Robbery,1,1,432176,1,11,7
92,Dharwad,2025,12,Theft,3,1,844353,0.333,8,9
93,Belagavi,2022,11,Theft,3,1,1087477,0.333,6,9
94,Hassan,2025,7,Murder,1,0,0,0,10,6
95,Mysuru,2024,10,Drug Offence,1,0,0,0,3,3
96,Bengaluru Urban,2020,3,Cybercrime,1,0,0,0,1,2
97,Shivamogga,2022,4,Theft,1,1,456422,1,11,9
98,Dakshina Kannada,2023,12,Theft,1,0,234258,0,5,9
99,Bengaluru Rural,2025,9,Theft,3,3,575052,1,2,9
100,Ballari,2024,9,Theft,2,1,590748,0.5,9,9
101,Mysuru,2022,1,Drug Offence,1,1,0,1,3,3
102,Mysuru,2024,3,Sexual Assault,1,1,0,1,3,8
103,Udupi,2025,4,Theft,1,1,65972,1,12,9
104,Kalaburagi,2022,10,Theft,2,0,197706,0,7,9
105,Bengaluru Urban,2020,7,Drug Offence,1,0,0,0,1,3
106,Kalaburagi,2025,1,Assault,1,0,0,0,7,1
107,Dharwad,2021,1,Cybercrime,1,1,0,1,8,2
108,Hassan,2020,3,Theft,1,1,282830,1,10,9
109,Udupi,2021,9,Cybercrime,2,1,0,0.5,12,2
110,Belagavi,2020,8,Theft,1,1,310072,1,6,9
111,Dakshina Kannada,2021,5,Theft,1,0,61494,0,5,9
112,Tumakuru,2021,5,Cybercrime,1,1,0,1,4,2
113,Ballari,2025,11,Drug Offence,1,0,0,0,9,3
114,Dakshina Kannada,2024,9,Cybercrime,1,0,0,0,5,2
115,Kalaburagi,2020,6,Cybercrime,1,0,0,0,7,2
116,Bengaluru Urban,2025,3,Robbery,2,1,302488,0.5,1,7
117,Ballari,2024,1,Fraud,1,1,292803,1,9,4
118,Mysuru,2023,9,Fraud,1,0,164062,0,3,4
119,Ballari,2024,1,Robbery,2,1,220964,0.5,9,7
120,Kalaburagi,2023,10,Fraud,1,1,128924,1,7,4
121,Tumakuru,2024,12,Theft,1,1,291673,1,4,9
122,Shivamogga,2024,5,Robbery,1,1,187209,1,11,7
123,Tumakuru,2021,1,Fraud,1,0,141103,0,4,4
124,Dharwad,2020,3,Theft,2,0,320234,0,8,9
125,Bengaluru Rural,2025,1,Vandalism,1,0,0,0,2,10
126,Shivamogga,2020,9,Theft,1,0,62652,0,11,9
127,Kalaburagi,2025,4,Fraud,1,1,118824,1,7,4
128,Bengaluru Rural,2020,9,Assault,1,1,0,1,2,1
129,Mysuru,2021,2,Assault,1,0,0,0,3,1
130,Bengaluru Rural,2025,10,Robbery,1,1,350594,1,2,7
131,Mysuru,2024,1,Fraud,1,0,343305,0,3,4
132,Kalaburagi,2022,4,Drug Offence,1,0,0,0,7,3
133,Bengaluru Urban,2022,2,Assault,3,2,0,0.667,1,1
134,Dharwad,2021,12,Drug Offence,1,0,0,0,8,3
135,Tumakuru,2023,4,Sexual Assault,1,1,0,1,4,8
136,Shivamogga,2023,6,Drug Offence,1,1,0,1,11,3
137,Bengaluru Rural,2020,10,Cybercrime,2,1,0,0.5,2,2
138,Dakshina Kannada,2024,6,Theft,1,1,96719,1,5,9
139,Dharwad,2020,6,Drug Offence,1,1,0,1,8,3
140,Bengaluru Urban,2020,3,Robbery,3,1,885651,0.333,1,7
141,Bengaluru Urban,2020,3,Assault,1,0,0,0,1,1
142,Mysuru,2022,7,Assault,1,0,0,0,3,1
143,Bengaluru Rural,2022,5,Fraud,2,1,406394,0.5,2,4
144,Udupi,2024,7,Robbery,1,0,113863,0,12,7
145,Dharwad,2020,4,Theft,1,1,409919,1,8,9
146,Ballari,2025,12,Robbery,1,0,488407,0,9,7
147,Kalaburagi,2025,1,Cybercrime,1,0,0,0,7,2
148,Dakshina Kannada,2021,4,Cybercrime,1,0,0,0,5,2
149,Ballari,2023,11,Kidnapping,1,1,0,1,9,5
150,Ballari,2021,11,Theft,1,1,160765,1,9,9
151,Ballari,2020,5,Cybercrime,1,0,0,0,9,2
152,Dharwad,2021,6,Robbery,1,1,12062,1,8,7
153,Mysuru,2020,12,Assault,1,1,0,1,3,1
154,Mysuru,2022,1,Sexual Assault,1,0,0,0,3,8
155,Mysuru,2024,12,Assault,1,1,0,1,3,1
156,Mysuru,2023,4,Robbery,2,0,123966,0,3,7
157,Bengaluru Urban,2020,2,Cybercrime,2,1,0,0.5,1,2
158,Kalaburagi,2023,7,Assault,1,1,0,1,7,1
159,Belagavi,2021,9,Robbery,2,2,447975,1,6,7
160,Shivamogga,2025,6,Theft,3,2,1156184,0.667,11,9
161,Tumakuru,2023,6,Robbery,1,0,423165,0,4,7
162,Bengaluru Urban,2022,10,Assault,4,1,0,0.25,1,1
163,Tumakuru,2022,8,Drug Offence,1,1,0,1,4,3
164,Dakshina Kannada,2020,8,Drug Offence,1,0,0,0,5,3
165,Udupi,2020,9,Cybercrime,1,0,0,0,12,2
166,Bengaluru Urban,2025,1,Robbery,1,1,237677,1,1,7
167,Belagavi,2021,8,Assault,1,1,0,1,6,1
168,Bengaluru Rural,2021,7,Assault,1,1,0,1,2,1
169,Mysuru,2022,4,Assault,1,1,0,1,3,1
170,Mysuru,2025,8,Kidnapping,2,2,0,1,3,5
171,Bengaluru Urban,2024,2,Robbery,1,0,196241,0,1,7
172,Belagavi,2021,5,Sexual Assault,2,2,0,1,6,8
173,Belagavi,2023,5,Fraud,1,0,434942,0,6,4
174,Shivamogga,2020,8,Vandalism,1,1,0,1,11,10
175,Bengaluru Rural,2020,5,Sexual Assault,1,1,0,1,2,8
176,Bengaluru Urban,2025,3,Theft,2,1,426322,0.5,1,9
177,Dharwad,2024,11,Fraud,1,0,285522,0,8,4
178,Belagavi,2024,7,Drug Offence,1,0,0,0,6,3
179,Belagavi,2025,3,Sexual Assault,1,1,0,1,6,8
180,Tumakuru,2020,11,Fraud,1,0,387821,0,4,4
181,Shivamogga,2024,5,Kidnapping,1,0,0,0,11,5
182,Bengaluru Urban,2022,9,Cybercrime,2,1,0,0.5,1,2
183,Bengaluru Rural,2024,7,Assault,2,1,0,0.5,2,1
184,Belagavi,2024,4,Theft,1,0,20275,0,6,9
