station_id,district_id,name,latitude,longitude,officer_count,area_covered_sqkm
1,1,Cubbon Park PS,13.020741,77.631357,30,116
2,1,Shivajinagar PS,12.904208,77.561509,61,167
3,1,Whitefield PS,12.922366,77.525729,44,94
4,1,HSR Layout PS,13.049235,77.651451,27,117
5,1,Koramangala PS,12.936076,77.61631,61,61
6,1,Yelahanka PS,12.950829,77.548121,49,199
7,2,Devanahalli PS,13.268465,77.591386,36,156
8,2,Doddaballapur PS,13.23526,77.513844,63,89
9,2,Nelamangala PS,13.276924,77.5901,43,195
10,3,Nazarbad PS,12.267685,76.68233,22,78
11,3,Kuvempunagar PS,12.347288,76.688207,66,88
12,3,Hebbal PS,12.22639,76.705502,55,74
13,3,V.V. Mohalla PS,12.32067,76.622701,73,56
14,4,Tumakuru City PS,13.300281,77.07676,48,169
15,4,Tiptur PS,13.326449,77.130665,61,76
16,4,Sira PS,13.417472,77.059433,78,43
17,5,Mangaluru City PS,12.884725,75.047776,34,180
18,5,Bunder PS,12.789397,75.018877,23,118
19,5,Ullal PS,12.824859,75.069379,47,161
20,6,Belagavi City PS,15.907425,74.419537,29,194
21,6,Tilakwadi PS,15.911266,74.53784,58,48
22,6,Khasbag PS,15.81666,74.443005,15,87
23,6,Gokak PS,15.925202,74.539614,79,47
24,7,Kalaburagi City PS,17.388983,76.802051,79,175
25,7,Aland PS,17.281526,76.814126,35,158
26,7,Yadgir PS,17.40226,76.901889,15,173
27,8,Dharwad PS,15.430765,74.930916,61,98
28,8,Hubli PS,15.417212,74.966339,25,41
29,8,Navanagar PS,15.496005,75.058364,31,52
30,9,Ballari City PS,15.16496,76.992896,36,87
31,9,Sandur PS,15.143828,76.938455,42,158
32,9,Hospet PS,15.180242,76.951779,54,122
33,10,Hassan PS,13.086024,76.12428,71,152
34,10,Belur PS,12.999038,76.059965,23,106
35,10,Sakleshpur PS,12.930165,76.108927,43,21
36,11,Shivamogga PS,13.861259,75.589076,44,37
37,11,Sagar PS,13.994767,75.625642,24,151
38,11,Bhadravathi PS,13.887981,75.595136,42,158
39,12,Udupi PS,13.28207,74.811782,75,82
40,12,Manipal PS,13.386439,74.7913,39,44
41,12,Kundapura PS,13.276409,74.731068,69,125
