AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,ACC-A,31,3,A1
2,1,ACC-B,17,3,A2
3,2,ACC-C,57,3,A1
4,2,ACC-D,31,3,A2
5,3,ACC-E,12,1,A1
6,4,ACC-F,42,1,A1
7,5,ACC-G,52,2,A1
8,6,ACC-H,15,3,A1
9,6,ACC-I,61,3,A2
10,7,ACC-J,17,3,A1
11,7,ACC-K,47,1,A2
12,8,ACC-L,46,3,A1
13,8,ACC-M,38,1,A2
14,9,ACC-N,69,2,A1
15,10,ACC-O,16,3,A1
16,11,ACC-P,68,1,A1
17,11,ACC-Q,62,1,A2
18,12,ACC-R,15,3,A1
19,12,ACC-S,28,1,A2
20,13,ACC-T,34,3,A1
21,13,ACC-U,14,3,A2
22,14,ACC-V,31,2,A1
23,15,ACC-W,32,1,A1
24,16,ACC-X,26,3,A1
25,17,ACC-Y,74,3,A1
26,18,ACC-Z,57,2,A1
27,18,ACC-AA,24,2,A2
28,18,ACC-AB,32,2,A3
29,18,ACC-AC,55,1,A4
30,19,ACC-AD,38,2,A1
31,20,ACC-AE,46,2,A1
32,20,ACC-AF,57,2,A2
33,21,ACC-AG,25,3,A1
34,21,ACC-AH,64,3,A2
35,21,ACC-AI,16,3,A3
36,22,ACC-AJ,57,3,A1
37,22,ACC-AK,30,2,A2
38,23,ACC-AL,33,2,A1
39,24,ACC-AM,58,3,A1
40,24,ACC-AN,65,3,A2
41,25,ACC-AO,49,1,A1
42,26,ACC-AP,70,2,A1
43,26,ACC-AQ,62,3,A2
44,26,ACC-AR,31,2,A3
45,27,ACC-AS,62,3,A1
46,28,ACC-AT,18,1,A1
47,29,ACC-AU,56,2,A1
48,30,ACC-AV,65,2,A1
49,31,ACC-AW,22,3,A1
50,31,ACC-AX,18,2,A2
51,32,ACC-AY,68,2,A1
52,33,ACC-AZ,47,2,A1
53,34,ACC-BA,61,3,A1
54,35,ACC-BB,67,1,A1
55,36,ACC-BC,43,1,A1
56,36,ACC-BD,60,2,A2
57,37,ACC-BE,56,1,A1
58,38,ACC-BF,39,3,A1
59,39,ACC-BG,41,2,A1
60,40,ACC-BH,12,1,A1
61,40,ACC-BI,31,3,A2
62,41,ACC-BJ,62,1,A1
63,42,ACC-BK,26,1,A1
64,42,ACC-BL,67,1,A2
65,42,ACC-BM,50,3,A3
66,43,ACC-BN,18,1,A1
67,43,ACC-BO,27,3,A2
68,44,ACC-BP,62,1,A1
69,44,ACC-BQ,30,2,A2
70,45,ACC-BR,14,1,A1
71,45,ACC-BS,40,2,A2
72,46,ACC-BT,64,3,A1
73,47,ACC-BU,34,3,A1
74,47,ACC-BV,26,2,A2
75,48,ACC-BW,18,3,A1
76,48,ACC-BX,69,2,A2
77,49,ACC-BY,52,1,A1
78,50,ACC-BZ,38,2,A1
79,50,ACC-CA,39,1,A2
80,51,ACC-CB,34,2,A1
81,52,ACC-CC,48,2,A1
82,53,ACC-CD,15,2,A1
83,53,ACC-CE,58,1,A2
84,53,ACC-CF,24,3,A3
85,54,ACC-CG,50,2,A1
86,55,ACC-CH,25,2,A1
87,55,ACC-CI,34,3,A2
88,55,ACC-CJ,19,3,A3
89,55,ACC-CK,74,2,A4
90,56,ACC-CL,53,3,A1
91,56,ACC-CM,60,3,A2
92,57,ACC-CN,22,3,A1
93,58,ACC-CO,16,2,A1
94,59,ACC-CP,12,1,A1
95,60,ACC-CQ,24,1,A1
96,61,ACC-CR,20,1,A1
97,62,ACC-CS,25,3,A1
98,63,ACC-CT,56,1,A1
99,63,ACC-CU,40,2,A2
100,64,ACC-CV,70,1,A1
101,64,ACC-CW,22,3,A2
102,64,ACC-CX,60,3,A3
103,64,ACC-CY,23,2,A4
104,65,ACC-CZ,44,3,A1
105,66,ACC-DA,60,3,A1
106,66,ACC-DB,15,1,A2
107,67,ACC-DC,35,3,A1
108,67,ACC-DD,27,1,A2
109,68,ACC-DE,19,3,A1
110,68,ACC-DF,47,1,A2
111,68,ACC-DG,62,1,A3
112,69,ACC-DH,15,2,A1
113,69,ACC-DI,46,2,A2
114,69,ACC-DJ,53,2,A3
115,70,ACC-DK,25,2,A1
116,70,ACC-DL,23,2,A2
117,70,ACC-DM,61,1,A3
118,70,ACC-DN,67,3,A4
119,71,ACC-DO,48,3,A1
120,72,ACC-DP,48,2,A1
121,72,ACC-DQ,56,3,A2
122,73,ACC-DR,52,1,A1
123,74,ACC-DS,55,1,A1
124,75,ACC-DT,29,1,A1
125,76,ACC-DU,40,3,A1
126,77,ACC-DV,20,3,A1
127,78,ACC-DW,25,1,A1
128,79,ACC-DX,66,3,A1
129,80,ACC-DY,72,2,A1
130,80,ACC-DZ,75,1,A2
131,81,ACC-EA,35,1,A1
132,82,ACC-EB,70,1,A1
133,83,ACC-EC,23,2,A1
134,83,ACC-ED,38,2,A2
135,83,ACC-EE,27,1,A3
136,84,ACC-EF,62,1,A1
137,84,ACC-EG,18,3,A2
138,84,ACC-EH,18,3,A3
139,85,ACC-EI,32,1,A1
140,85,ACC-EJ,46,3,A2
141,86,ACC-EK,68,2,A1
142,86,ACC-EL,69,3,A2
143,86,ACC-EM,52,1,A3
144,86,ACC-EN,20,2,A4
145,87,ACC-EO,42,3,A1
146,88,ACC-EP,42,3,A1
147,89,ACC-EQ,31,1,A1
148,90,ACC-ER,59,2,A1
149,91,ACC-ES,30,1,A1
150,92,ACC-ET,39,3,A1
151,93,ACC-EU,30,3,A1
152,94,ACC-EV,25,2,A1
153,94,ACC-EW,53,2,A2
154,94,ACC-EX,33,2,A3
155,95,ACC-EY,60,1,A1
156,95,ACC-EZ,19,1,A2
157,96,ACC-FA,38,3,A1
158,97,ACC-FB,18,2,A1
159,97,ACC-FC,27,2,A2
160,98,ACC-FD,13,1,A1
161,98,ACC-FE,70,3,A2
162,99,ACC-FF,35,3,A1
163,100,ACC-FG,56,3,A1
164,100,ACC-FH,57,3,A2
165,100,ACC-FI,63,1,A3
166,100,ACC-FJ,16,1,A4
167,101,ACC-FK,69,3,A1
168,102,ACC-FL,66,3,A1
169,102,ACC-FM,19,1,A2
170,103,ACC-FN,71,2,A1
171,103,ACC-FO,23,1,A2
172,104,ACC-FP,18,3,A1
173,104,ACC-FQ,22,2,A2
174,104,ACC-FR,56,3,A3
175,105,ACC-FS,14,1,A1
176,105,ACC-FT,51,1,A2
177,106,ACC-FU,22,1,A1
178,107,ACC-FV,74,2,A1
179,107,ACC-FW,14,2,A2
180,107,ACC-FX,60,2,A3
181,108,ACC-FY,24,3,A1
182,108,ACC-FZ,33,3,A2
183,109,ACC-GA,66,2,A1
184,109,ACC-GB,62,2,A2
185,109,ACC-GC,60,2,A3
186,109,ACC-GD,27,2,A4
187,110,ACC-GE,25,1,A1
188,110,ACC-GF,28,1,A2
189,111,ACC-GG,41,3,A1
190,111,ACC-GH,60,2,A2
191,112,ACC-GI,18,2,A1
192,113,ACC-GJ,73,2,A1
193,113,ACC-GK,34,1,A2
194,114,ACC-GL,44,2,A1
195,114,ACC-GM,65,3,A2
196,115,ACC-GN,62,1,A1
197,116,ACC-GO,36,1,A1
198,117,ACC-GP,67,3,A1
199,118,ACC-GQ,23,2,A1
200,118,ACC-GR,58,3,A2
201,118,ACC-GS,21,1,A3
202,119,ACC-GT,71,3,A1
203,120,ACC-GU,39,2,A1
204,120,ACC-GV,47,2,A2
205,121,ACC-GW,55,1,A1
206,121,ACC-GX,63,2,A2
207,122,ACC-GY,27,2,A1
208,123,ACC-GZ,48,2,A1
209,124,ACC-HA,62,2,A1
210,124,ACC-HB,63,2,A2
211,125,ACC-HC,14,2,A1
212,126,ACC-HD,41,3,A1
213,127,ACC-HE,30,2,A1
214,128,ACC-HF,21,3,A1
215,129,ACC-HG,64,1,A1
216,130,ACC-HH,44,3,A1
217,131,ACC-HI,35,1,A1
218,131,ACC-HJ,49,3,A2
219,131,ACC-HK,12,2,A3
220,132,ACC-HL,16,3,A1
221,133,ACC-HM,24,3,A1
222,133,ACC-HN,53,2,A2
223,133,ACC-HO,46,3,A3
