CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,POCSO,8,1,1
2,IPC,420,1,1
3,IPC,363,1,1
4,IPC,457,1,1
5,IPC,302,1,1
6,IPC,457,1,1
7,IPC,143,1,1
8,IPC,143,1,1
9,IT,66D,1,1
10,IPC,392,1,1
11,IPC,323,1,1
12,IPC,420,1,1
13,IT,66D,1,1
14,IPC,147,1,1
15,NDPS,21,1,1
16,IPC,302,1,1
17,IPC,302,1,1
18,IPC,420,1,1
19,IPC,379,1,1
20,IPC,302,1,1
21,NDPS,21,1,1
22,NDPS,21,1,1
23,IPC,392,1,1
24,NDPS,20,1,1
25,IPC,143,1,1
26,IPC,420,1,1
27,POCSO,8,1,1
28,IPC,379,1,1
29,IPC,420,1,1
30,IPC,363,1,1
31,IPC,143,1,1
32,IPC,302,1,1
33,POCSO,8,1,1
34,IPC,302,1,1
35,IPC,143,1,1
36,IPC,143,1,1
37,IPC,420,1,1
38,IT,66D,1,1
39,IPC,323,1,1
40,IPC,457,1,1
41,POCSO,8,1,1
42,NDPS,20,1,1
43,NDPS,20,1,1
44,IPC,143,1,1
45,NDPS,21,1,1
46,IPC,420,1,1
47,IPC,302,1,1
48,NDPS,20,1,1
49,IPC,379,1,1
50,IPC,147,1,1
51,IPC,323,1,1
52,IPC,427,1,1
53,IPC,379,1,1
54,IT,66D,1,1
55,IPC,363,1,1
56,IPC,457,1,1
57,IPC,323,1,1
58,IPC,392,1,1
59,IPC,379,1,1
60,IPC,143,1,1
61,IPC,143,1,1
62,NDPS,20,1,1
63,IPC,379,1,1
64,IPC,363,1,1
65,IPC,420,1,1
66,IPC,457,1,1
67,POCSO,8,1,1
68,IT,66D,1,1
69,NDPS,20,1,1
70,IPC,302,1,1
71,IPC,392,1,1
72,IPC,457,1,1
73,IPC,323,1,1
74,IPC,457,1,1
75,IPC,379,1,1
76,IT,66D,1,1
77,NDPS,20,1,1
78,IPC,363,1,1
79,NDPS,20,1,1
80,IPC,392,1,1
81,IPC,420,1,1
82,IT,66D,1,1
83,IPC,457,1,1
84,IPC,420,1,1
85,IPC,379,1,1
86,IPC,427,1,1
87,IPC,143,1,1
88,NDPS,20,1,1
89,IPC,363,1,1
90,IPC,392,1,1
91,IPC,420,1,1
92,IPC,420,1,1
93,IPC,420,1,1
94,IPC,363,1,1
95,IPC,323,1,1
96,IPC,363,1,1
97,NDPS,21,1,1
98,NDPS,20,1,1
99,IPC,379,1,1
100,IT,66D,1,1
101,IPC,302,1,1
102,NDPS,21,1,1
103,IPC,143,1,1
104,IPC,392,1,1
105,IPC,379,1,1
106,IPC,302,1,1
107,IPC,147,1,1
108,IT,66D,1,1
109,IPC,379,1,1
110,IPC,143,1,1
111,IPC,143,1,1
112,IPC,323,1,1
113,IPC,147,1,1
114,POCSO,8,1,1
115,IPC,392,1,1
116,IPC,302,1,1
117,IT,66D,1,1
118,IPC,427,1,1
119,IPC,147,1,1
120,NDPS,20,1,1
121,IPC,323,1,1
122,IPC,363,1,1
