ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,2,1,2024-03-05,3,10,44,99,10,3,1,0
2,3,2,2022-06-24,1,4,19,40,4,5,1,0
3,4,1,2023-01-01,1,6,28,62,6,6,1,0
4,5,2,2025-03-02,1,8,38,87,8,7,1,0
5,6,1,2023-02-17,1,6,27,60,6,8,1,0
6,7,2,2023-09-18,1,12,52,117,12,10,1,0
7,8,1,2020-11-13,1,9,42,95,9,12,1,1
8,9,2,2020-08-25,1,5,23,50,5,14,1,0
9,11,2,2022-09-18,1,1,7,15,1,16,1,0
10,12,2,2023-11-14,1,1,3,2,1,18,1,0
11,13,1,2021-10-29,1,9,40,90,9,20,1,0
12,14,1,2023-08-01,1,7,34,76,7,22,1,0
13,15,2,2021-02-03,1,4,20,44,4,23,1,0
14,16,2,2023-04-16,1,5,24,54,5,24,1,0
15,18,1,2021-05-21,1,4,20,44,4,26,1,0
16,19,2,2024-12-23,1,8,38,85,8,30,1,0
17,20,2,2022-06-20,1,1,8,16,1,31,1,0
18,22,2,2022-02-26,1,4,20,45,4,36,1,0
19,23,2,2020-05-03,1,1,7,13,1,38,1,0
20,24,1,2020-11-19,1,1,3,1,1,39,1,0
21,26,1,2024-03-28,1,1,7,15,1,42,1,0
22,28,2,2020-10-01,1,8,36,81,8,46,1,0
23,32,1,2024-04-20,1,12,52,117,12,51,1,0
24,33,1,2023-02-14,1,3,15,33,3,52,1,0
25,34,2,2020-10-07,1,4,21,48,4,53,1,0
26,36,2,2026-01-20,1,7,32,72,7,55,1,1
27,37,1,2024-09-10,1,1,5,8,1,57,1,0
28,39,1,2024-12-01,1,2,11,23,2,59,1,0
29,40,1,2020-07-20,4,2,11,24,2,60,1,0
30,41,2,2022-06-06,2,6,30,68,6,62,1,0
31,42,2,2023-09-12,1,5,23,51,5,63,1,0
32,43,2,2025-02-08,1,9,40,90,9,66,1,0
33,46,1,2023-01-22,1,5,24,54,5,72,1,0
34,51,2,2022-02-03,2,12,52,116,12,80,1,0
35,52,2,2020-11-02,1,6,30,68,6,81,1,0
36,54,1,2022-06-28,1,3,17,39,3,85,1,0
37,55,1,2023-11-20,1,6,30,67,6,86,1,0
