CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,100070033202100001,202100001,2021-04-01,73,33,1,2,1,4,4,7,2021-03-31 01:08:00,2021-03-31 03:16:00,2021-03-31 05:57:00,17.23186,76.779007,Masked FIR summary for sexual assault case 0001.
2,400100044202300001,202300001,2023-11-24,98,44,4,1,3,11,3,10,2023-11-19 20:37:00,2023-11-20 00:35:00,2023-11-20 01:09:00,13.004417,76.023928,Masked FIR summary for cheque fraud case 0002.
3,100040019202200001,202200001,2022-05-07,40,19,1,2,1,3,2,4,2022-05-05 14:23:00,2022-05-05 18:18:00,2022-05-05 18:53:00,13.263809,77.065453,Masked FIR summary for kidnapping case 0003.
4,100060028202200001,202200001,2022-11-08,63,28,1,1,2,7,2,6,2022-11-08 02:47:00,2022-11-08 06:46:00,2022-11-08 08:44:00,15.8682,74.491347,Masked FIR summary for burglary case 0004.
5,100080038202400001,202400001,2024-11-14,87,38,1,2,1,1,1,8,2024-11-11 02:58:00,2024-11-11 04:12:00,2024-11-11 06:03:00,15.426773,75.018019,Masked FIR summary for murder case 0005.
6,100060027202200001,202200001,2022-11-30,58,27,1,1,2,7,2,6,2022-11-25 08:33:00,2022-11-25 12:16:00,2022-11-25 13:24:00,15.757911,74.459525,Masked FIR summary for burglary case 0006.
7,100120052202300001,202300001,2023-06-09,116,52,1,1,5,14,2,12,2023-06-07 03:29:00,2023-06-07 07:07:00,2023-06-07 09:05:00,13.291861,74.698369,Masked FIR summary for unlawful assembly case 0007.
8,100090042202000001,202000001,2020-08-28,95,42,1,1,5,14,4,9,2020-08-27 23:53:00,2020-08-28 03:37:00,2020-08-28 05:27:00,15.066366,76.876004,Masked FIR summary for unlawful assembly case 0008.
9,100050023202000001,202000001,2020-07-10,51,23,1,1,3,10,2,5,2020-07-09 15:31:00,2020-07-09 16:35:00,2020-07-09 19:23:00,12.802778,74.953017,Masked FIR summary for cyber fraud case 0009.
10,100110048202200001,202200001,2022-12-06,108,48,1,2,2,6,5,11,2022-12-05 17:08:00,2022-12-05 20:14:00,2022-12-05 22:23:00,13.939055,75.568055,Masked FIR summary for robbery case 0010.
11,100010007202200001,202200001,2022-07-05,15,7,1,1,1,2,5,1,2022-07-05 11:46:00,2022-07-05 15:46:00,2022-07-05 16:51:00,13.051363,77.480954,Masked FIR summary for assault case 0011.
12,100010003202300001,202300001,2023-10-04,1,3,1,1,3,11,6,1,2023-10-03 12:40:00,2023-10-03 15:09:00,2023-10-03 16:31:00,12.944083,77.570124,Masked FIR summary for cheque fraud case 0012.
13,100090040202100001,202100001,2021-09-10,88,40,1,1,3,10,3,9,2021-09-06 01:18:00,2021-09-06 02:16:00,2021-09-06 03:13:00,15.17509,76.98277,Masked FIR summary for cyber fraud case 0013.
14,100070034202300001,202300001,2023-06-22,78,34,1,1,5,15,2,7,2023-06-17 21:26:00,2023-06-17 23:56:00,2023-06-18 02:18:00,17.251338,76.804186,Masked FIR summary for rioting case 0014.
15,100040020202000001,202000001,2020-11-04,45,20,1,2,4,13,2,4,2020-11-02 03:39:00,2020-11-02 07:09:00,2020-11-02 10:03:00,13.348585,77.085449,Masked FIR summary for drug trafficking case 0015.
16,100050024202300001,202300001,2023-02-28,52,24,1,2,1,1,4,5,2023-02-25 04:27:00,2023-02-25 07:11:00,2023-02-25 09:47:00,12.923423,74.997099,Masked FIR summary for murder case 0016.
17,100030016202000001,202000001,2020-06-23,36,16,1,2,1,1,4,3,2020-06-21 07:29:00,2020-06-21 08:33:00,2020-06-21 08:50:00,12.326156,76.650951,Masked FIR summary for murder case 0017.
18,100040020202100001,202100001,2021-04-19,44,20,1,1,3,11,2,4,2021-04-18 20:13:00,2021-04-18 23:39:00,2021-04-19 00:10:00,13.363118,77.111998,Masked FIR summary for cheque fraud case 0018.
19,100080038202400002,202400002,2024-10-08,86,38,1,1,2,5,1,8,2024-10-04 08:06:00,2024-10-04 12:01:00,2024-10-04 12:52:00,15.394212,75.011015,Masked FIR summary for theft case 0019.
20,100010008202200001,202200001,2022-03-01,18,8,1,2,1,1,5,1,2022-02-26 03:11:00,2022-02-26 04:40:00,2022-02-26 04:52:00,12.908304,77.588404,Masked FIR summary for murder case 0020.
21,100020011202400001,202400001,2024-04-03,22,11,1,2,4,13,3,2,2024-04-01 12:37:00,2024-04-01 14:53:00,2024-04-01 15:01:00,13.167531,77.450041,Masked FIR summary for drug trafficking case 0021.
22,100040020202100002,202100002,2021-11-02,43,20,1,2,4,13,3,4,2021-11-02 09:12:00,2021-11-02 10:56:00,2021-11-02 13:19:00,13.390994,77.12912,Masked FIR summary for drug trafficking case 0022.
23,100010007202000001,202000001,2020-02-11,15,7,1,2,2,6,3,1,2020-02-06 15:51:00,2020-02-06 19:06:00,2020-02-06 20:11:00,13.010842,77.539955,Masked FIR summary for robbery case 0023.
24,800010003202000001,202000001,2020-10-25,1,3,8,1,4,12,3,1,2020-10-24 15:16:00,2020-10-24 18:29:00,2020-10-24 21:18:00,12.950493,77.488911,Masked FIR summary for drug possession case 0024.
25,100110049202300001,202300001,2023-01-26,111,49,1,1,5,14,6,11,2023-01-23 15:04:00,2023-01-23 16:16:00,2023-01-23 17:30:00,13.959782,75.573935,Masked FIR summary for unlawful assembly case 0025.
26,100010007202300001,202300001,2023-12-15,14,7,1,1,3,11,5,1,2023-12-12 04:21:00,2023-12-12 04:43:00,2023-12-12 07:11:00,13.007965,77.543031,Masked FIR summary for cheque fraud case 0026.
