CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2021-09-06 10:26:00,A,73
2,2,2024-03-23 08:27:00,A,98
3,8,2021-01-07 18:35:00,A,95
4,12,2023-11-15 14:41:00,A,1
5,13,2021-10-11 12:52:00,C,88
6,16,2023-06-30 14:37:00,B,52
7,17,2020-10-12 12:42:00,B,36
8,21,2024-10-15 19:02:00,A,22
9,22,2022-05-10 16:48:00,C,43
10,23,2020-03-23 14:27:00,A,15
11,24,2021-02-28 13:13:00,A,1
12,25,2023-09-21 14:48:00,B,111
13,30,2025-02-28 09:25:00,A,51
14,32,2024-05-16 12:22:00,C,115
15,34,2020-09-28 09:45:00,C,46
16,35,2020-06-04 18:56:00,B,99
17,38,2024-11-09 00:34:00,A,72
18,43,2025-04-20 04:21:00,A,88
19,45,2020-08-20 08:00:00,A,43
20,46,2023-05-15 07:34:00,C,54
21,48,2021-04-16 18:01:00,C,115
22,49,2024-10-15 07:01:00,B,51
23,52,2020-10-20 14:45:00,A,69
24,53,2023-04-20 06:46:00,A,116
25,54,2022-05-23 04:01:00,A,38
26,56,2021-09-02 03:25:00,B,3
27,58,2024-08-27 01:59:00,A,119
28,60,2023-11-15 08:08:00,A,43
29,63,2023-03-19 06:29:00,A,9
30,65,2024-11-28 20:50:00,B,59
31,66,2020-07-06 14:40:00,A,80
32,68,2022-10-24 07:45:00,A,87
33,70,2023-01-08 03:00:00,A,16
34,73,2023-06-18 09:03:00,C,94
35,74,2022-12-30 10:58:00,A,55
36,75,2022-05-18 18:24:00,B,111
37,77,2022-10-16 13:24:00,C,83
38,78,2024-06-07 12:35:00,B,111
39,81,2022-01-11 00:41:00,A,2
40,83,2025-03-11 15:41:00,B,122
41,84,2025-08-24 22:54:00,A,83
42,86,2021-12-16 16:16:00,A,113
43,88,2022-11-29 11:11:00,A,104
44,89,2024-01-22 14:21:00,A,99
45,94,2023-12-30 12:45:00,A,18
46,97,2022-06-05 13:28:00,A,100
47,101,2022-01-10 01:01:00,A,64
48,103,2026-06-24 10:03:00,A,90
49,104,2024-08-06 09:27:00,B,53
50,107,2023-09-09 20:16:00,A,63
51,109,2025-01-18 00:24:00,B,37
52,110,2023-02-16 02:23:00,A,110
53,111,2021-03-05 17:55:00,A,2
54,117,2020-11-28 22:25:00,A,87
55,122,2022-05-23 14:01:00,A,30
56,123,2023-02-14 10:14:00,B,25
57,125,2022-01-25 06:22:00,A,32
58,129,2022-10-12 03:27:00,B,60
59,130,2022-05-16 13:50:00,A,103
60,131,2022-03-05 07:03:00,B,65
61,132,2025-12-12 16:31:00,B,40
62,136,2021-07-17 18:19:00,A,15
63,137,2025-09-07 09:41:00,A,44
64,138,2024-10-03 04:40:00,A,109
65,139,2021-11-29 13:04:00,C,112
66,145,2026-05-27 20:01:00,B,17
67,146,2021-01-01 09:21:00,C,103
68,154,2024-05-30 21:00:00,A,78
69,157,2022-07-16 12:42:00,C,90
70,159,2024-04-07 14:57:00,B,10
71,160,2021-04-11 10:38:00,A,81
72,161,2021-03-08 13:31:00,A,111
73,164,2020-10-05 11:01:00,A,2
74,168,2024-10-21 04:12:00,C,108
75,170,2025-08-05 23:21:00,B,40
76,171,2025-06-21 01:24:00,A,98
77,173,2023-03-11 06:45:00,B,75
78,176,2023-12-21 13:08:00,A,25
79,179,2026-01-30 08:22:00,A,85
80,181,2026-04-20 10:55:00,C,102
81,183,2022-01-17 13:44:00,B,34
82,185,2021-11-08 10:04:00,A,67
83,189,2025-09-05 18:44:00,B,98
84,190,2025-12-19 23:08:00,A,21
85,193,2022-06-20 04:19:00,A,51
86,196,2021-12-01 03:02:00,A,53
87,197,2025-07-15 07:52:00,A,2
88,198,2023-09-17 20:07:00,C,55
89,203,2020-04-04 07:44:00,B,39
90,205,2020-12-13 19:21:00,A,25
91,208,2022-08-26 16:04:00,A,104
92,210,2021-08-29 06:22:00,C,99
93,214,2023-10-08 19:55:00,A,120
94,216,2022-06-10 02:54:00,C,40
95,218,2022-09-30 14:08:00,A,61
96,219,2025-04-13 14:46:00,A,72
97,220,2020-08-27 13:08:00,A,10
98,222,2021-01-29 20:56:00,A,89
99,224,2023-09-09 01:36:00,A,114
100,226,2026-01-27 05:41:00,A,63
101,230,2024-12-12 15:21:00,A,29
102,234,2025-01-26 01:34:00,A,51
103,235,2024-04-16 17:07:00,A,86
104,237,2021-12-17 11:38:00,A,31
105,238,2025-07-30 14:33:00,C,20
106,241,2025-07-07 05:51:00,B,67
107,243,2020-09-05 08:16:00,B,25
108,244,2023-12-31 01:40:00,A,12
109,248,2025-04-15 05:52:00,B,50
110,249,2022-07-06 17:24:00,A,102
111,251,2023-08-28 05:35:00,A,120
112,253,2025-08-20 14:17:00,B,29
113,256,2025-07-29 23:56:00,A,34
114,257,2022-09-08 05:48:00,A,109
115,258,2022-01-09 17:37:00,A,62
116,259,2023-08-04 19:42:00,A,102
117,260,2024-03-28 19:56:00,C,19
118,264,2021-02-05 21:36:00,B,20
119,269,2026-02-22 16:50:00,A,73
120,270,2022-01-05 08:29:00,C,109
121,272,2024-12-20 00:23:00,B,52
122,274,2021-09-21 01:01:00,B,70
123,275,2023-10-31 05:35:00,B,14
124,277,2021-05-03 07:08:00,A,5
125,278,2025-08-26 22:18:00,C,53
126,283,2020-10-10 15:09:00,C,57
127,284,2021-10-25 05:36:00,A,115
128,288,2026-04-28 23:49:00,B,106
129,290,2020-04-28 14:49:00,B,103
130,291,2021-11-09 08:18:00,A,35
131,292,2021-10-24 13:07:00,A,53
132,293,2020-06-29 10:19:00,B,111
133,295,2020-06-14 17:24:00,B,61
134,296,2023-10-02 14:43:00,B,14
135,297,2024-11-07 05:09:00,A,34
136,298,2020-09-19 00:38:00,A,53
137,300,2022-09-21 10:59:00,A,70
138,301,2025-06-02 14:27:00,A,27
139,303,2025-06-18 06:08:00,A,49
140,308,2021-11-01 10:12:00,A,33
141,310,2026-01-01 18:23:00,A,26
142,311,2025-11-13 22:31:00,B,43
143,315,2025-02-16 18:22:00,A,48
