ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,CMP-A,41,5,5,1,2
2,2,CMP-B,36,6,2,5,1
3,3,CMP-C,23,6,4,1,1
4,4,CMP-D,77,2,3,3,3
5,5,CMP-E,36,8,4,2,3
6,6,CMP-F,44,3,3,1,3
7,7,CMP-G,33,4,1,4,2
8,7,CMP-H,55,1,4,4,3
9,8,CMP-I,25,4,1,4,1
10,9,CMP-J,66,6,2,2,2
11,10,CMP-K,50,7,1,2,2
12,11,CMP-L,60,8,1,1,3
13,11,CMP-M,52,7,3,2,3
14,12,CMP-N,64,4,4,4,2
15,13,CMP-O,41,1,4,4,2
16,14,CMP-P,18,3,3,5,1
17,15,CMP-Q,48,8,3,1,2
18,15,CMP-R,49,5,1,3,3
19,16,CMP-S,43,1,2,5,3
20,16,CMP-T,42,3,4,2,2
21,17,CMP-U,65,7,5,4,1
22,18,CMP-V,31,7,5,5,3
23,19,CMP-W,62,3,4,5,2
24,20,CMP-X,30,7,4,5,3
25,20,CMP-Y,66,2,2,1,3
26,21,CMP-Z,68,7,1,5,3
27,22,CMP-AA,34,3,3,4,3
28,23,CMP-AB,32,5,2,1,2
29,24,CMP-AC,48,5,5,4,3
30,25,CMP-AD,54,6,1,4,1
31,26,CMP-AE,40,5,5,3,1
32,27,CMP-AF,22,1,3,1,3
33,28,CMP-AG,63,1,1,3,3
34,29,CMP-AH,68,1,4,2,3
35,30,CMP-AI,75,1,1,3,3
36,31,CMP-AJ,18,5,5,5,3
37,32,CMP-AK,67,7,4,3,3
38,33,CMP-AL,46,4,1,2,1
39,34,CMP-AM,21,7,4,3,3
40,35,CMP-AN,65,8,2,2,2
41,36,CMP-AO,74,4,1,2,2
42,37,CMP-AP,60,4,1,2,2
43,38,CMP-AQ,32,4,2,1,2
44,39,CMP-AR,48,3,5,1,2
45,39,CMP-AS,56,8,3,5,1
46,40,CMP-AT,37,3,4,4,1
47,41,CMP-AU,72,4,2,3,2
48,41,CMP-AV,41,8,5,1,3
49,42,CMP-AW,21,1,3,2,3
50,43,CMP-AX,74,6,3,4,2
51,44,CMP-AY,57,1,1,1,1
52,45,CMP-AZ,32,1,2,1,1
53,46,CMP-BA,25,6,5,4,2
54,47,CMP-BB,39,1,1,2,2
55,48,CMP-BC,18,6,5,3,1
56,49,CMP-BD,31,6,2,5,3
57,50,CMP-BE,68,4,5,2,1
58,51,CMP-BF,18,6,5,3,2
59,52,CMP-BG,23,8,4,4,1
60,53,CMP-BH,61,6,1,1,1
61,54,CMP-BI,48,1,5,4,2
62,55,CMP-BJ,55,7,4,1,1
63,55,CMP-BK,59,1,4,2,1
64,56,CMP-BL,72,4,3,4,3
65,57,CMP-BM,29,3,1,2,1
66,58,CMP-BN,65,6,3,3,3
67,59,CMP-BO,43,5,2,4,3
68,60,CMP-BP,38,7,2,5,3
69,61,CMP-BQ,27,5,2,2,1
70,62,CMP-BR,44,7,2,1,1
71,63,CMP-BS,23,4,1,2,2
72,64,CMP-BT,44,1,3,2,3
73,65,CMP-BU,32,3,2,2,1
74,66,CMP-BV,24,8,2,5,1
75,67,CMP-BW,45,4,4,4,1
76,68,CMP-BX,53,6,2,3,1
77,69,CMP-BY,56,4,3,5,1
78,70,CMP-BZ,75,4,2,2,3
79,71,CMP-CA,42,7,2,4,2
80,72,CMP-CB,57,7,5,2,1
81,73,CMP-CC,68,4,3,4,2
82,73,CMP-CD,59,7,3,5,1
83,74,CMP-CE,64,1,2,5,3
84,75,CMP-CF,27,5,4,2,3
85,76,CMP-CG,64,1,3,5,1
86,77,CMP-CH,78,4,5,2,1
87,78,CMP-CI,64,6,5,3,2
88,79,CMP-CJ,26,3,3,2,2
89,80,CMP-CK,48,1,1,3,1
90,81,CMP-CL,61,4,2,3,1
91,82,CMP-CM,62,6,5,2,3
92,83,CMP-CN,37,8,5,5,3
93,84,CMP-CO,70,7,2,1,2
94,85,CMP-CP,53,4,4,4,3
95,86,CMP-CQ,47,1,1,1,3
96,87,CMP-CR,71,1,3,2,2
97,88,CMP-CS,53,8,1,1,3
98,89,CMP-CT,32,3,5,1,3
99,89,CMP-CU,38,2,1,4,1
100,90,CMP-CV,21,2,3,1,1
101,91,CMP-CW,41,3,5,4,3
102,92,CMP-CX,75,6,1,1,1
103,93,CMP-CY,21,3,2,3,3
104,94,CMP-CZ,59,3,1,5,1
105,95,CMP-DA,51,4,5,4,2
106,96,CMP-DB,69,1,2,1,3
107,97,CMP-DC,49,8,4,1,1
108,98,CMP-DD,40,8,2,3,1
109,99,CMP-DE,78,3,3,3,1
110,100,CMP-DF,19,2,2,5,3
111,100,CMP-DG,64,7,2,4,1
112,101,CMP-DH,55,2,4,4,3
113,102,CMP-DI,54,3,3,5,1
114,103,CMP-DJ,47,1,3,2,2
115,104,CMP-DK,60,6,4,5,2
116,105,CMP-DL,36,6,4,1,2
117,106,CMP-DM,51,5,1,1,3
118,107,CMP-DN,73,6,5,2,2
119,108,CMP-DO,46,6,4,4,1
120,109,CMP-DP,34,3,2,3,1
121,110,CMP-DQ,32,6,5,1,1
122,111,CMP-DR,24,5,5,2,2
123,112,CMP-DS,46,3,1,4,1
124,112,CMP-DT,45,3,1,4,2
125,113,CMP-DU,34,7,4,2,1
126,114,CMP-DV,53,2,1,1,3
127,115,CMP-DW,30,7,2,4,2
