OccuranceTimeID,CaseMasterID,FromDate,ToDate,PlaceOfOccurance,latitude,longitude
1,1,2021-03-31 01:08:00,2021-03-31 03:16:00,Beat-2,17.23186,76.779007
2,2,2023-11-19 20:37:00,2023-11-20 00:35:00,Beat-3,13.004417,76.023928
3,3,2022-05-05 14:23:00,2022-05-05 18:18:00,Beat-4,13.263809,77.065453
4,4,2022-11-08 02:47:00,2022-11-08 06:46:00,Beat-5,15.8682,74.491347
5,5,2024-11-11 02:58:00,2024-11-11 04:12:00,Beat-6,15.426773,75.018019
6,6,2022-11-25 08:33:00,2022-11-25 12:16:00,Beat-7,15.757911,74.459525
7,7,2023-06-07 03:29:00,2023-06-07 07:07:00,Beat-8,13.291861,74.698369
8,8,2020-08-27 23:53:00,2020-08-28 03:37:00,Beat-9,15.066366,76.876004
9,9,2020-07-09 15:31:00,2020-07-09 16:35:00,Beat-10,12.802778,74.953017
10,10,2022-12-05 17:08:00,2022-12-05 20:14:00,Beat-11,13.939055,75.568055
11,11,2022-07-05 11:46:00,2022-07-05 15:46:00,Beat-12,13.051363,77.480954
12,12,2023-10-03 12:40:00,2023-10-03 15:09:00,Beat-13,12.944083,77.570124
13,13,2021-09-06 01:18:00,2021-09-06 02:16:00,Beat-14,15.17509,76.98277
14,14,2023-06-17 21:26:00,2023-06-17 23:56:00,Beat-15,17.251338,76.804186
15,15,2020-11-02 03:39:00,2020-11-02 07:09:00,Beat-16,13.348585,77.085449
16,16,2023-02-25 04:27:00,2023-02-25 07:11:00,Beat-17,12.923423,74.997099
17,17,2020-06-21 07:29:00,2020-06-21 08:33:00,Beat-18,12.326156,76.650951
18,18,2021-04-18 20:13:00,2021-04-18 23:39:00,Beat-1,13.363118,77.111998
19,19,2024-10-04 08:06:00,2024-10-04 12:01:00,Beat-2,15.394212,75.011015
20,20,2022-02-26 03:11:00,2022-02-26 04:40:00,Beat-3,12.908304,77.588404
21,21,2024-04-01 12:37:00,2024-04-01 14:53:00,Beat-4,13.167531,77.450041
22,22,2021-11-02 09:12:00,2021-11-02 10:56:00,Beat-5,13.390994,77.12912
23,23,2020-02-06 15:51:00,2020-02-06 19:06:00,Beat-6,13.010842,77.539955
24,24,2020-10-24 15:16:00,2020-10-24 18:29:00,Beat-7,12.950493,77.488911
25,25,2023-01-23 15:04:00,2023-01-23 16:16:00,Beat-8,13.959782,75.573935
26,26,2023-12-12 04:21:00,2023-12-12 04:43:00,Beat-9,13.007965,77.543031
27,27,2024-06-10 10:42:00,2024-06-10 11:02:00,Beat-10,15.412918,74.987745
