UnitID,UnitName,TypeID,ParentUnit,NationalityID,StateID,DistrictID,Active
1,Karnataka State Police HQ,1,,1,1,,1
2,Bengaluru Urban DPO,2,1,1,1,1,1
3,Cubbon Park PS,4,2,1,1,1,1
4,Shivajinagar PS,4,2,1,1,1,1
5,Whitefield PS,4,2,1,1,1,1
6,HSR Layout PS,4,2,1,1,1,1
7,Koramangala PS,4,2,1,1,1,1
8,Yelahanka PS,4,2,1,1,1,1
9,Bengaluru Rural DPO,2,1,1,1,2,1
10,Devanahalli PS,4,9,1,1,2,1
11,Doddaballapur PS,4,9,1,1,2,1
12,Nelamangala PS,4,9,1,1,2,1
13,Mysuru DPO,2,1,1,1,3,1
14,Nazarbad PS,4,13,1,1,3,1
15,Kuvempunagar PS,4,13,1,1,3,1
16,Hebbal PS,4,13,1,1,3,1
17,V.V. Mohalla PS,4,13,1,1,3,1
18,Tumakuru DPO,2,1,1,1,4,1
19,Tumakuru City PS,4,18,1,1,4,1
20,Tiptur PS,4,18,1,1,4,1
21,Sira PS,4,18,1,1,4,1
22,Dakshina Kannada DPO,2,1,1,1,5,1
23,Mangaluru City PS,4,22,1,1,5,1
24,Bunder PS,4,22,1,1,5,1
25,Ullal PS,4,22,1,1,5,1
26,Belagavi DPO,2,1,1,1,6,1
27,Belagavi City PS,4,26,1,1,6,1
28,Tilakwadi PS,4,26,1,1,6,1
29,Khasbag PS,4,26,1,1,6,1
30,Gokak PS,4,26,1,1,6,1
31,Kalaburagi DPO,2,1,1,1,7,1
32,Kalaburagi City PS,4,31,1,1,7,1
33,Aland PS,4,31,1,1,7,1
34,Yadgir PS,4,31,1,1,7,1
35,Dharwad DPO,2,1,1,1,8,1
36,Dharwad PS,4,35,1,1,8,1
37,Hubballi PS,4,35,1,1,8,1
38,Navanagar PS,4,35,1,1,8,1
39,Ballari DPO,2,1,1,1,9,1
40,Ballari City PS,4,39,1,1,9,1
41,Sandur PS,4,39,1,1,9,1
42,Hosapete PS,4,39,1,1,9,1
43,Hassan DPO,2,1,1,1,10,1
44,Hassan PS,4,43,1,1,10,1
45,Belur PS,4,43,1,1,10,1
46,Sakleshpur PS,4,43,1,1,10,1
47,Shivamogga DPO,2,1,1,1,11,1
48,Shivamogga PS,4,47,1,1,11,1
49,Sagar PS,4,47,1,1,11,1
50,Bhadravathi PS,4,47,1,1,11,1
51,Udupi DPO,2,1,1,1,12,1
52,Udupi PS,4,51,1,1,12,1
53,Manipal PS,4,51,1,1,12,1
54,Kundapura PS,4,51,1,1,12,1
