VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,VIC-A,73,2,0
2,2,VIC-B,29,2,0
3,3,VIC-C,62,3,0
4,3,VIC-D,68,3,0
5,4,VIC-E,70,3,0
6,5,VIC-F,30,2,0
7,6,VIC-G,81,1,0
8,7,VIC-H,81,2,0
9,8,VIC-I,67,1,0
10,9,VIC-J,56,2,0
11,9,VIC-K,6,2,0
12,10,VIC-L,82,1,0
13,10,VIC-M,37,3,0
14,11,VIC-N,45,3,0
15,11,VIC-O,26,3,0
16,12,VIC-P,76,1,0
17,13,VIC-Q,32,3,0
18,14,VIC-R,64,2,0
19,15,VIC-S,81,1,0
20,16,VIC-T,7,1,0
21,17,VIC-U,54,1,0
22,17,VIC-V,82,3,0
23,17,VIC-W,18,2,0
24,18,VIC-X,73,1,0
25,19,VIC-Y,55,2,0
26,20,VIC-Z,69,3,0
27,21,VIC-AA,66,3,1
28,22,VIC-AB,66,3,0
29,23,VIC-AC,79,1,0
30,24,VIC-AD,71,3,0
31,25,VIC-AE,74,1,0
32,26,VIC-AF,28,3,0
33,27,VIC-AG,81,1,0
34,28,VIC-AH,26,2,0
35,28,VIC-AI,43,2,0
36,29,VIC-AJ,37,1,0
37,29,VIC-AK,78,2,0
38,30,VIC-AL,37,1,0
39,31,VIC-AM,19,2,0
40,31,VIC-AN,34,3,0
41,31,VIC-AO,28,3,0
42,32,VIC-AP,51,1,0
43,33,VIC-AQ,20,1,0
44,34,VIC-AR,28,2,0
45,35,VIC-AS,26,2,0
46,36,VIC-AT,73,1,0
47,36,VIC-AU,78,2,0
48,37,VIC-AV,31,3,0
49,37,VIC-AW,53,3,0
50,38,VIC-AX,37,2,0
51,39,VIC-AY,68,2,0
52,40,VIC-AZ,38,3,0
53,41,VIC-BA,26,1,0
54,42,VIC-BB,76,3,0
55,43,VIC-BC,68,3,0
56,44,VIC-BD,77,2,0
57,45,VIC-BE,63,3,0
58,46,VIC-BF,73,2,0
59,46,VIC-BG,72,2,0
60,47,VIC-BH,42,3,0
61,47,VIC-BI,52,1,0
62,48,VIC-BJ,33,1,0
63,49,VIC-BK,12,3,0
64,50,VIC-BL,46,3,0
65,51,VIC-BM,35,2,0
66,52,VIC-BN,57,2,0
67,52,VIC-BO,74,1,0
68,53,VIC-BP,8,1,0
69,54,VIC-BQ,42,2,0
70,55,VIC-BR,78,2,0
71,56,VIC-BS,25,3,1
72,57,VIC-BT,57,3,0
73,58,VIC-BU,77,2,0
74,58,VIC-BV,11,3,0
75,59,VIC-BW,68,2,0
76,60,VIC-BX,27,3,0
77,61,VIC-BY,51,2,0
78,62,VIC-BZ,76,2,0
79,63,VIC-CA,42,2,0
80,63,VIC-CB,50,3,0
81,63,VIC-CC,12,3,1
82,64,VIC-CD,64,3,0
83,65,VIC-CE,65,3,0
84,65,VIC-CF,68,3,0
85,66,VIC-CG,53,2,0
86,67,VIC-CH,75,1,0
87,67,VIC-CI,28,3,0
88,67,VIC-CJ,57,2,0
89,68,VIC-CK,27,2,0
90,69,VIC-CL,26,1,0
91,70,VIC-CM,73,3,0
92,71,VIC-CN,62,1,0
93,72,VIC-CO,28,2,0
94,73,VIC-CP,63,3,0
95,74,VIC-CQ,64,3,0
96,75,VIC-CR,25,2,0
97,76,VIC-CS,41,1,1
98,76,VIC-CT,49,3,0
99,77,VIC-CU,23,3,1
100,78,VIC-CV,81,3,0
101,79,VIC-CW,24,3,0
102,80,VIC-CX,77,3,0
103,81,VIC-CY,33,2,0
104,82,VIC-CZ,21,2,0
105,83,VIC-DA,21,1,0
106,84,VIC-DB,16,3,0
107,84,VIC-DC,7,1,0
