ArrestSurrenderAccusedID,ArrestSurrenderID,AccusedMasterID
1,1,3
2,1,4
3,2,5
4,3,6
5,4,7
6,5,8
7,5,9
8,6,10
9,6,11
10,7,12
11,7,13
12,8,14
13,9,16
14,9,17
15,10,18
16,10,19
17,11,20
18,11,21
19,12,22
20,13,23
21,14,24
22,15,26
23,15,27
24,15,28
25,15,29
26,16,30
27,17,31
28,17,32
29,18,36
30,18,37
31,19,38
32,20,39
33,20,40
34,21,42
35,21,43
36,21,44
37,22,46
38,23,51
39,24,52
40,25,53
41,26,55
42,26,56
43,27,57
44,28,59
45,29,60
46,29,61
47,30,62
48,31,63
49,31,64
50,31,65
51,32,66
52,32,67
53,33,72
54,34,80
55,35,81
56,36,85
57,37,86
58,37,87
59,37,88
60,37,89
61,38,90
62,38,91
63,39,92
64,40,94
65,41,96
66,42,97
67,43,98
68,43,99
69,44,104
70,45,105
71,45,106
72,46,109
73,46,110
74,46,111
75,47,112
76,47,113
77,47,114
78,48,115
79,48,116
80,48,117
81,48,118
82,49,119
83,50,120
84,50,121
85,51,122
86,52,125
87,53,126
88,54,127
89,55,129
90,55,130
91,56,136
92,56,137
93,56,138
94,57,139
95,57,140
96,58,145
97,59,147
98,60,149
99,61,150
100,62,151
101,63,152
102,63,153
103,63,154
104,64,155
105,64,156
106,65,157
107,66,158
108,66,159
109,67,162
110,68,163
111,68,164
112,68,165
113,68,166
114,69,167
115,70,172
116,70,173
117,70,174
118,71,178
119,71,179
120,71,180
121,72,181
122,72,182
123,73,187
124,73,188
125,74,191
126,75,192
127,75,193
128,76,194
129,76,195
130,77,197
131,78,199
132,78,200
133,78,201
134,79,202
135,80,208
136,81,209
137,81,210
138,82,213
139,83,214
140,84,215
141,85,224
142,85,225
143,85,226
144,86,227
145,86,228
146,87,229
147,88,231
148,89,233
149,90,238
150,90,239
151,91,242
152,91,243
153,92,247
154,92,248
155,93,252
156,94,254
157,95,258
158,95,259
159,96,260
160,96,261
161,97,267
162,98,270
163,99,275
164,100,278
165,100,279
166,100,280
167,100,281
168,101,282
169,101,283
170,102,285
171,102,286
172,103,287
173,104,296
174,104,297
175,104,298
176,105,303
177,106,305
178,107,306
179,108,307
180,108,308
181,108,309
182,109,310
183,109,311
184,110,313
185,111,314
186,112,315
187,112,316
188,113,323
189,114,325
190,115,326
191,115,327
192,116,328
193,116,329
194,117,336
195,118,339
196,119,341
197,119,342
198,120,343
199,121,346
200,121,347
201,122,349
202,122,350
203,122,351
204,123,352
205,123,353
206,124,355
207,124,356
208,124,357
209,125,358
210,126,359
211,126,360
212,127,361
213,127,362
214,128,363
215,129,365
216,130,367
217,131,369
218,132,371
219,133,372
220,133,373
221,134,377
222,135,378
223,136,380
224,136,381
225,137,382
226,138,383
227,138,384
228,139,389
229,140,399
230,141,400
231,141,401
232,141,402
233,142,404
234,143,407
235,143,408
236,144,409
237,144,410
238,144,411
239,145,412
240,145,413
241,146,417
242,146,418
243,147,420
244,147,421
245,148,424
246,148,425
247,148,426
248,149,430
249,150,431
250,151,432
251,152,433
252,152,434
253,153,435
254,154,437
255,155,438
256,156,439
257,157,441
258,158,442
259,158,443
260,158,444
261,159,445
262,159,446
263,160,447
264,161,449
265,161,450
266,162,455
267,162,456
268,162,457
269,163,462
270,163,463
271,164,468
272,165,469
273,166,474
274,167,475
275,167,476
276,168,480
277,169,481
278,170,486
279,171,487
280,172,489
281,173,493
282,173,494
283,174,496
284,174,497
285,174,498
286,174,499
287,175,500
288,176,501
289,176,502
290,177,504
291,177,505
292,178,506
293,179,507
294,179,508
295,179,509
296,179,510
297,180,511
298,180,512
299,181,514
300,182,515
301,182,516
302,182,517
303,183,523
304,184,524
305,184,525
306,184,526
307,184,527
308,185,528
309,186,529
310,187,530
311,188,531
312,189,532
313,190,533
314,190,534
315,190,535
316,190,536
317,191,538
318,192,539
319,193,540
320,194,541
321,194,542
322,194,543
323,195,544
324,196,545
325,196,546
326,196,547
327,197,548
328,197,549
329,198,551
330,198,552
331,199,553
332,199,554
333,199,555
334,199,556
335,200,557
336,201,558
337,201,559
338,201,560
339,201,561
340,202,562
341,203,563
342,203,564
343,204,566
344,204,567
345,205,570
346,205,571
347,205,572
348,205,573
349,206,576
350,207,580
351,207,581
352,208,584
353,209,585
354,210,586
355,210,587
356,211,588
357,212,589
358,213,590
359,213,591
360,214,592
361,215,596
362,215,597
363,215,598
364,216,601
365,217,609
366,218,610
367,219,611
368,220,614
369,221,615
370,222,616
371,223,617
372,224,618
373,225,619
374,226,620
375,226,621
376,226,622
377,227,624
378,228,625
379,229,626
380,229,627
381,229,628
382,230,629
383,230,630
384,230,631
385,231,632
386,232,633
387,233,639
388,234,641
389,235,642
390,236,643
391,237,644
392,237,645
393,238,647
394,238,648
395,238,649
396,239,650
397,239,651
398,240,654
399,241,655
400,241,656
401,242,669
402,243,674
403,243,675
404,244,676
405,245,677
406,245,678
407,246,679
408,247,681
409,248,682
410,248,683
411,249,688
412,250,689
413,251,690
414,252,691
