offender_id_a,offender_id_b,relationship_type,strength
1,40,Family,0.39
1,27,Family,0.63
1,293,Known associate,0.54
27,293,Family,0.87
2,29,Co-accused,0.71
2,166,Co-accused,0.48
2,281,Known associate,0.95
166,281,Co-accused,0.73
2,45,Family,0.44
2,382,Co-accused,0.45
45,382,Known associate,0.75
2,224,Gang member,0.65
2,139,Gang member,0.43
2,62,Gang member,0.4
62,139,Family,0.64
3,7,Gang member,0.93
3,168,Known associate,0.44
7,168,Known associate,0.68
3,123,Known associate,0.73
3,218,Co-accused,0.91
123,218,Family,0.92
3,114,Family,0.59
3,277,Known associate,0.66
114,277,Family,0.79
3,74,Gang member,0.4
3,104,Known associate,0.46
74,104,Family,0.44
4,192,Family,0.42
4,396,Family,0.37
192,396,Family,0.87
4,189,Family,0.56
4,279,Gang member,0.98
4,168,Known associate,0.72
5,364,Known associate,0.54
5,221,Gang member,0.72
5,375,Known associate,0.86
6,351,Family,0.77
6,35,Known associate,0.65
7,312,Gang member,0.72
7,155,Family,0.46
7,368,Co-accused,0.72
7,182,Family,0.79
7,255,Known associate,0.53
7,284,Known associate,0.38
7,327,Gang member,0.79
284,327,Known associate,0.94
8,86,Co-accused,0.52
8,69,Co-accused,0.48
8,154,Co-accused,0.55
69,154,Known associate,0.81
9,13,Co-accused,0.71
9,136,Family,0.89
9,155,Gang member,0.52
9,68,Gang member,0.69
9,208,Known associate,0.65
68,208,Co-accused,0.52
9,70,Known associate,0.41
9,331,Family,0.75
9,192,Family,0.99
9,168,Co-accused,0.44
9,272,Known associate,0.94
168,272,Family,0.57
10,17,Gang member,0.33
10,329,Family,0.85
10,332,Family,0.7
329,332,Family,0.52
10,140,Co-accused,0.71
10,281,Family,0.79
140,281,Known associate,0.84
10,297,Co-accused,0.74
10,272,Known associate,0.32
11,370,Gang member,0.88
11,363,Gang member,0.5
11,199,Family,0.37
11,304,Co-accused,0.49
11,90,Co-accused,0.65
11,108,Gang member,0.69
90,108,Gang member,0.34
11,23,Gang member,0.88
12,190,Co-accused,0.83
12,87,Gang member,0.73
12,296,Co-accused,0.43
12,329,Known associate,0.33
12,362,Co-accused,0.51
329,362,Known associate,0.93
12,206,Family,0.42
12,347,Co-accused,0.8
206,347,Known associate,0.53
12,307,Gang member,0.64
12,39,Gang member,0.79
13,164,Co-accused,0.48
13,251,Family,0.54
164,251,Known associate,0.52
13,62,Known associate,0.5
13,71,Family,0.46
62,71,Gang member,0.88
13,191,Gang member,0.84
13,345,Known associate,0.92
13,111,Family,0.54
13,279,Co-accused,0.45
14,228,Known associate,0.69
14,381,Co-accused,0.69
228,381,Known associate,0.36
14,178,Co-accused,0.38
14,42,Co-accused,0.58
14,389,Known associate,0.76
42,389,Known associate,0.86
14,53,Co-accused,0.44
14,233,Gang member,0.91
53,233,Known associate,0.95
15,386,Co-accused,0.98
15,134,Family,0.82
15,239,Gang member,0.44
134,239,Gang member,0.95
15,80,Co-accused,0.97
17,152,Family,0.38
17,303,Gang member,0.88
152,303,Co-accused,0.74
17,42,Gang member,0.36
17,185,Family,0.77
17,279,Family,0.77
185,279,Gang member,0.97
17,284,Co-accused,0.67
17,52,Family,0.62
18,124,Co-accused,0.77
18,354,Co-accused,0.68
124,354,Co-accused,0.41
18,70,Gang member,0.94
18,350,Gang member,0.92
18,280,Family,0.94
18,398,Gang member,0.86
280,398,Known associate,0.61
18,247,Known associate,0.47
18,388,Known associate,0.6
18,225,Known associate,0.76
18,57,Co-accused,0.72
18,140,Gang member,0.54
57,140,Family,0.79
18,115,Family,0.47
18,372,Family,0.41
115,372,Co-accused,0.76
19,302,Gang member,0.65
19,238,Known associate,0.98
19,180,Gang member,0.34
19,315,Co-accused,0.63
180,315,Known associate,0.74
19,399,Known associate,0.52
20,303,Co-accused,0.72
21,385,Co-accused,0.76
21,394,Known associate,0.84
385,394,Gang member,0.66
21,123,Family,0.73
21,375,Known associate,0.46
123,375,Co-accused,0.32
21,93,Family,0.46
21,134,Gang member,0.94
93,134,Gang member,0.61
21,100,Known associate,0.87
21,158,Known associate,0.68
100,158,Co-accused,0.9
21,260,Known associate,0.7
21,97,Family,0.66
21,143,Gang member,0.46
97,143,Known associate,0.68
21,306,Known associate,0.82
22,165,Co-accused,0.35
22,28,Co-accused,0.99
22,241,Known associate,0.77
22,290,Known associate,0.84
22,250,Known associate,0.64
22,272,Gang member,0.3
22,367,Known associate,0.34
272,367,Co-accused,0.86
23,292,Family,0.31
23,124,Gang member,0.77
23,244,Gang member,0.37
124,244,Family,0.62
23,160,Co-accused,0.39
24,162,Known associate,0.82
24,151,Gang member,0.7
25,335,Co-accused,0.97
25,371,Gang member,0.42
335,371,Known associate,0.37
25,381,Co-accused,0.46
26,106,Family,0.39
26,290,Co-accused,0.34
106,290,Gang member,0.94
26,178,Family,0.42
26,377,Known associate,0.87
26,241,Family,0.53
26,397,Known associate,0.92
241,397,Co-accused,0.41
27,341,Gang member,0.62
27,40,Co-accused,0.65
27,387,Family,0.84
28,105,Gang member,0.45
28,271,Co-accused,0.86
105,271,Gang member,0.54
28,164,Family,0.57
28,299,Family,0.88
164,299,Gang member,0.38
28,312,Gang member,0.64
28,348,Family,0.41
312,348,Gang member,0.45
29,62,Known associate,0.7
29,193,Known associate,0.69
29,271,Known associate,0.97
193,271,Known associate,0.58
29,78,Co-accused,0.71
29,242,Gang member,0.72
29,60,Known associate,0.89
30,75,Co-accused,0.71
30,209,Known associate,0.91
30,322,Co-accused,0.83
209,322,Family,0.56
30,196,Gang member,0.83
30,329,Family,0.89
196,329,Family,0.83
30,180,Gang member,0.54
30,274,Family,0.95
180,274,Known associate,0.68
30,153,Known associate,1
30,265,Family,0.59
31,361,Known associate,0.93
31,247,Known associate,0.77
31,99,Family,0.81
31,349,Known associate,0.38
99,349,Family,0.9
31,94,Co-accused,0.58
31,189,Family,0.95
31,96,Known associate,0.35
31,134,Known associate,0.71
96,134,Co-accused,0.52
31,110,Gang member,0.91
31,299,Known associate,0.59
110,299,Family,0.3
32,121,Gang member,0.6
32,253,Family,0.97
121,253,Family,0.73
32,366,Co-accused,0.89
32,306,Co-accused,0.85
32,157,Known associate,0.78
32,384,Family,0.89
32,117,Family,0.45
33,76,Gang member,0.65
33,129,Co-accused,0.8
33,322,Co-accused,0.59
33,369,Family,0.53
322,369,Gang member,0.32
33,165,Gang member,0.43
33,53,Gang member,0.38
33,364,Gang member,0.69
53,364,Gang member,0.71
34,224,Known associate,0.49
34,286,Family,0.99
34,116,Gang member,0.93
35,260,Family,0.47
35,90,Co-accused,0.92
35,181,Known associate,0.66
90,181,Known associate,0.71
35,65,Family,0.74
35,357,Known associate,0.77
35,397,Gang member,0.77
36,240,Known associate,0.49
36,243,Gang member,0.81
36,282,Known associate,0.46
36,195,Gang member,0.53
36,342,Known associate,0.7
195,342,Co-accused,0.6
36,228,Known associate,0.46
36,311,Known associate,0.95
36,121,Known associate,0.4
36,185,Family,0.76
36,276,Known associate,0.36
185,276,Co-accused,0.7
37,213,Co-accused,0.35
37,80,Co-accused,0.65
37,299,Known associate,0.83
80,299,Family,0.47
37,280,Co-accused,0.39
37,191,Known associate,0.93
37,370,Family,0.47
191,370,Family,0.9
37,104,Co-accused,0.95
37,400,Co-accused,0.52
104,400,Co-accused,0.5
37,183,Known associate,0.72
37,282,Family,0.74
183,282,Co-accused,0.73
37,203,Family,0.93
37,377,Known associate,0.34
203,377,Known associate,0.73
38,94,Known associate,0.84
38,72,Gang member,0.48
38,293,Known associate,0.55
72,293,Known associate,0.42
38,190,Co-accused,0.8
39,159,Gang member,0.31
39,271,Known associate,0.87
39,334,Gang member,0.68
271,334,Family,0.52
39,63,Co-accused,0.88
39,149,Family,0.42
63,149,Known associate,0.32
40,128,Known associate,0.52
40,222,Known associate,0.99
40,335,Co-accused,0.72
222,335,Gang member,0.62
40,281,Family,0.83
40,129,Co-accused,0.99
41,282,Family,0.88
41,365,Family,0.76
282,365,Co-accused,0.99
41,57,Family,0.36
41,164,Family,0.71
57,164,Co-accused,0.45
42,43,Known associate,0.87
42,46,Gang member,0.87
42,142,Known associate,0.85
46,142,Gang member,0.57
42,316,Known associate,0.98
42,212,Known associate,0.71
43,263,Known associate,0.68
43,228,Gang member,0.64
43,154,Co-accused,0.79
44,69,Gang member,0.92
44,313,Family,0.72
44,76,Co-accused,0.87
45,290,Family,0.69
45,124,Known associate,0.72
45,204,Family,0.92
124,204,Gang member,0.65
45,59,Co-accused,0.31
45,263,Gang member,0.8
46,248,Known associate,0.87
46,356,Gang member,0.32
248,356,Known associate,0.56
46,207,Family,0.71
46,237,Known associate,0.97
207,237,Family,0.44
46,317,Known associate,0.72
47,233,Gang member,0.69
47,58,Family,0.44
47,267,Family,0.55
58,267,Known associate,0.71
48,215,Co-accused,0.47
48,266,Family,0.92
48,59,Family,0.91
48,163,Co-accused,0.69
59,163,Co-accused,0.74
48,294,Co-accused,0.38
48,52,Gang member,0.46
48,65,Family,0.73
52,65,Gang member,0.45
49,165,Co-accused,0.49
49,218,Gang member,0.49
50,245,Family,0.31
50,255,Family,0.91
50,337,Co-accused,0.4
50,197,Family,0.84
50,352,Family,0.47
197,352,Family,0.83
50,313,Co-accused,0.89
50,318,Co-accused,0.43
313,318,Gang member,0.42
51,68,Co-accused,0.88
51,301,Gang member,0.43
68,301,Co-accused,0.51
51,147,Known associate,0.76
51,126,Gang member,0.9
52,196,Co-accused,0.72
52,194,Co-accused,0.59
52,174,Known associate,0.71
53,308,Family,0.38
53,304,Co-accused,0.86
53,135,Gang member,0.77
53,261,Known associate,0.99
135,261,Co-accused,0.31
53,345,Gang member,0.66
53,359,Gang member,0.39
345,359,Co-accused,0.65
54,218,Co-accused,0.68
54,77,Gang member,0.9
54,391,Co-accused,0.47
54,288,Family,0.77
54,325,Gang member,0.48
288,325,Gang member,0.99
54,67,Co-accused,0.89
54,362,Family,0.7
54,109,Known associate,0.8
54,88,Co-accused,0.65
54,117,Gang member,0.47
54,134,Known associate,0.66
117,134,Gang member,0.59
54,135,Gang member,0.83
55,379,Co-accused,0.36
55,385,Known associate,0.9
56,241,Family,0.73
56,246,Known associate,1
241,246,Family,0.42
56,216,Co-accused,0.57
56,188,Family,0.31
56,374,Co-accused,0.59
188,374,Co-accused,0.66
56,62,Co-accused,0.88
57,71,Known associate,0.31
57,280,Family,0.6
71,280,Known associate,0.77
57,368,Gang member,0.57
57,64,Gang member,0.38
57,350,Gang member,0.92
57,145,Known associate,0.33
57,236,Co-accused,0.37
145,236,Known associate,0.48
57,231,Family,0.68
57,182,Known associate,0.32
57,221,Gang member,0.87
58,92,Co-accused,0.89
58,218,Known associate,0.66
92,218,Known associate,0.55
58,388,Known associate,0.81
58,246,Family,0.4
58,287,Known associate,0.63
246,287,Gang member,0.76
58,301,Co-accused,0.5
301,388,Known associate,0.85
58,72,Known associate,0.99
58,94,Co-accused,0.61
58,217,Known associate,0.59
59,180,Known associate,0.71
60,343,Known associate,0.87
60,375,Known associate,0.37
343,375,Known associate,0.51
60,384,Known associate,0.59
60,62,Known associate,0.64
60,188,Co-accused,0.86
60,330,Known associate,0.41
61,272,Gang member,0.79
61,335,Family,0.51
272,335,Known associate,0.91
61,248,Gang member,0.93
61,348,Known associate,0.47
248,348,Co-accused,0.63
61,187,Known associate,0.41
61,329,Gang member,0.96
62,298,Co-accused,0.46
62,141,Family,0.79
62,105,Family,0.54
62,189,Gang member,0.73
105,189,Family,0.64
63,264,Gang member,0.82
63,344,Family,0.82
63,169,Known associate,0.48
63,144,Gang member,0.41
63,376,Co-accused,0.41
144,376,Known associate,0.98
64,394,Co-accused,0.8
64,226,Gang member,0.49
64,396,Co-accused,0.43
226,396,Family,0.4
64,351,Gang member,0.98
65,276,Family,0.94
66,107,Co-accused,0.61
66,215,Co-accused,0.72
67,337,Known associate,0.45
67,307,Family,0.33
67,244,Co-accused,0.9
67,121,Gang member,0.41
67,156,Family,0.96
67,177,Gang member,0.46
